Country,ISO3,Species,SpeciesID,SourceID
Ecuador,ECU,Polycyathus isabela,1268,5
Ecuador,ECU,Pseudocyathoceras avis,1303,5
Ecuador,ECU,Rhizopsammia wellingtoni,1319,5
Ecuador,ECU,Tubastraea floreana,1665,5
Egypt,EGY,Balanophyllia (Balanophyllia) europaea,232,5
Equatorial Guinea,GNQ,Astrangia poculata,198,5
Faroe Islands,FRO,Lophelia pertusa,985,6
Faroe Islands,FRO,Solenosmilia variabilis,1339,6
France,FRA,Balanophyllia (Balanophyllia) europaea,232,5
France,FRA,Ceratotrochus magnaghii,417,5
France,FRA,Cladocora caespitosa,495,5
France,FRA,Clavularia crassa,519,5
France,FRA,Lophelia pertusa,985,5
France,FRA,Paramuricea macrospina,1170,5
France,FRA,Swiftia pallida,1511,5
Gabon,GAB,Astrangia poculata,198,5
Ghana,GHA,Astrangia poculata,198,5
Gibraltar,GIB,Balanophyllia (Balanophyllia) europaea,232,5
Gibraltar,GIB,Cladocora caespitosa,495,5
Gibraltar,GIB,Clavularia crassa,519,5
Greece,GRC,Balanophyllia (Balanophyllia) europaea,232,5
Greece,GRC,Cladocora caespitosa,495,5
Greece,GRC,Cladopsammia rolandi,503,5
Greece,GRC,Clavularia crassa,519,5
Greece,GRC,Lophelia pertusa,985,5
Greece,GRC,Paramuricea macrospina,1170,5
Greece,GRC,Swiftia pallida,1511,5
Greenland,GRL,Acanella arbuscula,2,8
Greenland,GRL,Acanthogorgia armata,16,8
Greenland,GRL,Duva florida,736,8
Greenland,GRL,Flabellum (Ulocyathus) alabastrum,822,8
Greenland,GRL,Gersemia rubiformis,885,8
Greenland,GRL,Paragorgia arborea,1142,8
Greenland,GRL,Primnoa resedaeformis,1289,8
Greenland,GRL,Radicipes gracilis,1306,8
Greenland,GRL,Stauropathes arctica,1347,8
Greenland,GRL,Swiftia borealis,1501,8
Guam,GUM,Leptoseris troglodyta,977,21
Guinea,GIN,Astrangia poculata,198,5
Guinea-Bissau,GNB,Astrangia poculata,198,5
Guyana,GUY,Dasmosmilia lymani,638,16
Haiti,HTI,Enallopsammia profunda,744,1
Haiti,HTI,Madrepora oculata,1006,11
Honduras,HND,Paracalyptrophora carinata  ,1103,17
Iceland,ISL,Lophelia pertusa,985,9
Indonesia,IDN,Leptoseris troglodyta,977,21
Indonesia,IDN,Goniocorella dumosa,888,1
Ireland,IRL,Caryophyllia (Caryophyllia) seguenzae,404,20
Ireland,IRL,Lophelia pertusa,985,1
Israel,ISR,Balanophyllia (Balanophyllia) europaea,232,5
Israel,ISR,Cladocora caespitosa,495,5
Italy,ITA,Balanophyllia (Balanophyllia) europaea,232,5
Italy,ITA,Ceratotrochus magnaghii,417,5
Italy,ITA,Cladocora caespitosa,495,5
Italy,ITA,Cladopsammia rolandi,503,5
Italy,ITA,Clavularia crassa,519,5
