status,abbreviation,number_of_species
Not Evaluated,NE,1653
Data Deficient,DD,11
Least Concern,LC,3
Near Threatened,NT,0
Vulnerable,VU,2
Endangered,EN,2
Critically Endangered,CR,2
Extinct in the Wild,EW,0
Extinct,EX,0
