Region,total_value,total_value_protected,percent_protected
Baltic Sea,292,209,72
Black Sea,134,99,74
East Asian Seas,2292,76,3
Eastern Africa,82,41,50
Mediterranean,1242,1111,89
North-East Atlantic,2545,2394,94
North-East Pacific,1306,1265,97
North-West Pacific,3202,327,10
Pacific,2518,1485,59
ROPME Area,48,9,19
South-East Pacific,294,51,17
West and Central Africa - WACAF,36,0,0
Wider Caribbean,11669,4162,36
