ISO3,Area
ABNJ,4.936109442
ABW,66.52574339
AIA,24.33379034
ARE,126.76155
ARE/IRN,1.121386971
ASM,45.15909042
ATF,130.6774756
ATF/MDG,1.420774888
ATF/MUS/MDG,5.409801231
ATG,54.89462884
AUS,31684.09459
BES,198.2979203
BGD,4.530974409
BHR,207.801537
BHS,2226.523443
BLM,10.71307867
BLZ,873.899278
BMU,528.9152954
BRA,697.5084629
BRB,31.22270032
BRN,62.73609395
CCK,115.1527964
CHN,1145.126335
CHN/TWN/JPN,0.485965516
COK,253.2679181
COL,934.9776379
COM,218.9769921
CPT,4.303187114
CRI,69.86206629
CUB,2648.648529
CUW,38.67322702
CXR,5.03441236
CYM,136.7034541
DJI,247.1951937
DMA,16.35896337
DOM,350.6049765
ECU,125.4135685
EGY,2206.202165
EGY/SDN,6.352597603
ERI,1583.187756
FJI,3361.918875
FSM,3171.835681
GLP,113.3317721
GRD,45.7799346
GUM,136.8683687
HND,668.1841356
HTI,325.6027193
HTI/USA/JAM,26.15737866
IDN,20103.47944
IND,2035.40526
IOT,9.824953753
IOT/MUS,1800.248834
IRN,117.793762
ISR,1.14197365
JAM,412.6838767
JOR,2.860704329
JPN,1038.655582
KEN,410.1709662
KEN/SOM,0.961005022
KHM,47.46369271
KIR,1960.044501
KNA,41.82074853
KWT,72.74552157
LCA,29.47581641
LKA,108.9040366
MAF,6.211183513
MDG,2401.192627
MDG/FRA,131.9634318
MDV,2696.112215
MEX,924.2824517
MHL,1992.451903
MMR,606.8330997
MNP,81.40120049
MOZ,1675.05525
MSR,2.423375787
MTQ,72.00618163
MUS,741.0353966
MYS,2148.00668
MYT,166.2256598
MYT/COM,133.7866678
NCL,4574.815511
NIC,460.0963911
NIU,15.38185632
NRU,5.915431015
OMN,266.1915051
PAN,630.5238457
PCN,39.40428573
PHL,13487.5354
PLW,506.3993845
PNG,7256.147054
PNG/AUS,36.45887096
PRI,158.1399998
PYF,2999.877638
QAT,155.3618096
QAT/SAU/ARE,0.047142798
REU,12.12315267
REU/MUS,0.000528989
SAU,3415.233411
SDN,684.7746964
SDN/EGY,965.8023414
SGP,3.850499254
SLB,2803.683757
SOM,398.7953446
SXM,1.697136636
SYC,1493.611055
TCA,191.625657
THA,183.9726832
TKL,96.57210191
TLS,35.04979695
TON,992.0450511
TTO,32.02584821
TUV,885.565683
TWN,375.1623165
TWN/JPN/CHN,6.599435322
TZA,1814.325822
UMI,171.4537293
USA,4091.478036
VCT,38.36963344
VEN,346.6484396
VGB,137.1324284
VIR,33.52070156
VNM,478.1469862
VUT,706.9345381
WLF,411.1627196
WSM,199.995943
YEM,656.0849323
ZAF,1.398813349
