ISO3,No_Points_Protected
ABNJ,1029
ATA,117
ATF,18
AUS,157
BES,8
BHS,41
BLM,1
BLZ,2
BRA,2
CAN,9
CHL,16
COK,4
COL,13
CRI,3
DOM,19
ECU,71
ESP,187
FLK/ARG,5
FRA,280
GBR,486
GBR/FRO,11
GIN,2
GLP,14
GNQ,4
GRC,1
HMD,1
HRV,1
HTI/USA/JAM,8
IDN,4
IRL,388
ISL,20
ITA,133
JAM,1
JPN,36
KEN,1
LCA,2
MEX,59
MTQ,9
MYT/COM,2
NCL,69
NFK,49
NOR,924
NZL,330
PER,1
PLW,5
PRI,6
PRT,139
RUS,2
SGS,1
SGS/ARG,163
SHN,2
SWE,37
UMI,10
USA,1510
VEN,1
ZAF,11
