country,total_area_2020,protected_area,percent_protected
ABW,0.4329422393303552,0.008044091317769826,1.858005661496985
AGO,280.82388980916664,12.709945924660527,4.5259489615707365
AIA,0.03527193763082895,0.0,0.0
ARE,73.8732932821446,13.225002080465808,17.90227766069058
ASM,0.3189192190931394,0.22077426373732217,69.22576330304061
ATF,6.723017571763447,6.723017571763447,100.0
ATG,8.691842564763155,4.101993216104353,47.19359773880269
AUS,10035.715202090527,4926.818873424927,49.09285261900047
BEN,28.655277317310944,0.0,0.0
BES,2.5511466175294264,1.8318391167920145,71.80454091525318
BGD,4480.33398844895,4001.4378216931054,89.3111502849895
BHR,0.5836399962263042,1.2485914155540027e-05,0.002139317770589982
BHS,1497.9220841049796,967.1889472420653,64.5687087135756
BLZ,519.3444890824791,157.2227300015289,30.273302847459266
BMU,0.20941199570812427,0.1327358860952003,63.385044226504505
BRA,11375.584462759254,9698.588370062262,85.25793467415193
BRB,0.10843027031885004,0.0,0.0
BRN,109.71722524252426,66.6523421910314,60.74920509856116
CHN,202.79288548806352,9.690141395843197,4.7783438617789
CIV,53.49629687795122,3.7656520820996513,7.039089248907778
CMR,1973.4681855721099,1491.1161475642675,75.55815484970647
COD,236.38699590942744,233.40779203669186,98.73969214707688
COG,20.3598179855653,16.486180397114335,80.97410501804438
COK,0.03271536468329518,0.0,0.0
COL,2784.0963159982025,2139.3439181279964,76.84159150079411
COM,0.9699379743772397,0.8859174433442945,91.33753567212463
CRI,368.21182576132804,197.73979082766448,53.702726798307076
CUB,3510.1471180121334,1817.7695711381614,51.78613630780241
CUW,0.44414900679546987,0.031749528162150376,7.148395623176751
CYM,44.31533222536569,9.368207495030225,21.1398787385553
DJI,7.091241810915178,0.0,0.0
DMA,0.01465149770711278,0.01465149770711278,100.0
DOM,190.58009388845656,154.64790726965543,81.14588681028164
ECU,1516.203892321007,750.9617608656639,49.529074860511706
EGY,2.032279741846855,0.8239762353043748,40.54442989996928
ERI,73.4137378586412,0.0,0.0
FJI,488.3747762155148,177.3909620977756,36.32271172405816
FSM,87.10555385249252,0.0,0.0
GAB,1742.6059079540516,913.995245423757,52.44991086348691
GHA,178.0888235675041,83.91425810881842,47.119328674216845
GIN,2186.706136175233,572.6153336561152,26.186204180945712
GLP,34.19299835391136,32.683936968359184,95.58663627584576
GMB,615.0180636139168,269.8959649050584,43.88423379292614
GNB,2673.4151568862994,981.5298008511086,36.71445485460204
GNQ,255.93031925018147,203.3463090088668,79.45377851464647
GRD,1.9255281327760474,0.6276141058578402,32.594387751323296
GTM,249.13198206865505,115.36029413390091,46.30489155828667
GUF,635.6703336686306,440.74901006267356,69.33609871629342
GUM,0.5224856247723044,0.38895259921305697,74.44273694277422
GUY,281.66449989573323,143.21464309112002,50.84582655753044
HKG,3.6964372071045615,1.8379851526995765,49.72315366718429
HND,599.9689429831375,384.8912040121304,64.15185461073908
HTI,150.02764574400047,66.31495637587551,44.20182430179033
IDN,29012.421475860854,4881.656212805987,16.826090220934027
IND,4007.4875812705577,765.6928981744173,19.10655697981371
IRN,102.63788187429874,99.16197415218227,96.6134260970297
JAM,97.66934091345189,73.53139813193424,75.28605951901825
JPN,10.287192085448684,9.81074386343718,95.36852993456355
KEN,542.3728256390833,87.64003188067494,16.158632537942477
KHM,621.0693287316019,404.9698762041406,65.2052609056066
KIR,1.4648261934854192,0.03946469387132177,2.694155391734166
KNA,0.3468711369855794,0.0,0.0
LBR,182.13531638076063,20.95884993315247,11.507295976216508
LCA,1.6215340338087216,1.0370842201478632,63.956981384591714
LKA,181.19105790893133,9.373181630312834,5.173092832773183
MAF,0.009835894797421484,0.009835894797421484,100.0
MDG,2758.333309879123,503.09345590219203,18.239037831299612
MDV,0.9734406174953342,0.22649013154544323,23.266969497143343
MEX,9921.286606242897,7480.981430305938,75.4033395789472
MHL,0.32544645080817947,0.2625680128238542,80.67932901766802
MMR,5321.9361331469945,148.24821757047565,2.7856068517457526
MOZ,2978.680401081479,1488.6225121818397,49.9759058286804
MRT,3.452081414402484,2.726829533022082,78.99088131715067
MTQ,19.441101170716774,19.133061945809157,98.41552583774626
MUS,3.9624568153398463,1.358430936280049,34.28254236162675
MYS,5227.525057004061,165.28787352745613,3.1618762554948714
MYT,5.970396452868139,5.671576615203605,94.99497495646236
NCL,334.8082138958794,101.14167407604424,30.208838934727527
NGA,8389.844207711392,457.2409867898821,5.449934176007896
NIC,743.6981143847133,587.6870402938248,79.02225767777267
NZL,296.75921861748856,22.39256214824211,7.5457006028531435
OMN,1.353847684925616,0.5530561376080508,40.8506912384636
PAK,777.4061602436008,280.1545731532702,36.037091996477564
PAN,1528.2357916299045,635.1575328340721,41.561487848459535
PER,54.168132441840896,18.217639859837085,33.631655806847235
PHL,2820.259449053466,1094.720777236684,38.816314492061835
PLW,56.92194335330247,44.80698738824003,78.71654541049755
PNG,4494.13539662369,209.6681437476905,4.6653722071926875
PRI,81.9958575741271,40.583891053850266,49.49505042637187
PYF,1.2587180447762303,0.0,0.0
QAT,4.595108908635921,4.091601113809373,89.04252750396691
SAU,69.3856379129386,9.82083690571313,14.153990942672879
SDN,6.941477020740701,0.6761957577682622,9.741381491976874
SEN,1263.796232592753,742.2006037698935,58.727869622401464
SGP,6.970152933926152,0.4402503438493932,6.316222154990919
SLB,525.6500419088655,51.31201804609462,9.761631114830355
SLE,1507.9984813341052,613.3169794921807,40.67092819281805
SLV,370.1221454613986,282.1553043405533,76.2330240977111
SOM,34.637083076084764,0.0,0.0
STP,0.4838520587535822,0.388419507639024,80.27650200344391
