iso3,total_value,total_value_protected,protected_percentage
ABW,66.9319632244166,0.497267666504586,0.742944988536037
AIA,24.4656439069439,4.73100153243417,19.3373268671314
ARE,128.499427130443,60.2875095727032,46.9165590220912
ASM,45.4268523965062,12.4527637626107,27.4127814401873
ATF,266.5098004225,172.874923177647,64.8662536625623
ATF/MDG,3.82257665320677,3.82257769941636,100.000027369225
ATF/MUS/MDG,0.707001320840122,0,0
ATG,55.1987409716406,22.1645506749742,40.1540873665246
AUS,32094.3726362136,27243.7281497537,84.8863084459029
AUS/IDN,5.21144674637412,0,0
AUS/PNG,35.8611768801295,0,0
BES,199.408605319603,196.879920227959,98.7319077390913
BGD,4.55395072773974,0,0
BHR,208.673573036146,4.34327788327354,2.08137418652491
BHS,2218.68093859172,367.279123540962,16.5539405487518
BLM,10.7716075448833,10.6662929330255,99.0222943843898
BLZ,878.595041824177,356.34760655741,40.5588000835454
BMU,530.439959723381,0.078452661550167,0.014790111512541
BRA,701.626937858822,582.364651358659,83.002037113324
BRB,31.4113431350187,0.286343758383952,0.911593487591823
BRN,63.1524372658559,0,0
CCK,115.860348457056,7.16447741109923,6.18371816286634
CHN,380.905949760373,17.8903473419258,4.6967886306792
CHN/PHL/VNM/TWN/MYS,2447.75062352573,0,0
CHN/TWN/JPN,7.07620368088837,0,0
CHN/TWN/VNM,305.586303162666,0,0
COK,254.693497628687,111.60604460309,43.819746339107
COL,940.539536749218,835.322550458184,88.8131245758477
COM,220.323427235714,0.113216768073438,0.051386622609276
FRA,4.33033760358845,2.31360545974814,53.4278310732843
CRI,70.2679403655967,23.8937967880734,34.0038382564744
CUB,2679.77075756762,962.158809433002,35.9045193218817
CUW,38.9106398455848,5.58523896647888,14.3540147081715
CXR,5.06610771734849,0.676264111566078,13.3487906159252
CYM,137.420465973453,51.6655963324434,37.5967261982828
DJI,246.33653921076,8.34237001463703,3.38657433499927
DMA,16.4534800332579,0.7312132149159,4.44412497196871
DOM,352.466961832735,230.604795002064,65.4259320655134
ECU,126.258321326762,126.258320299385,99.999999186289
EGY,2222.35624810006,1168.68552361665,52.5876769134464
EGY/SDN,880.25777649923,761.235977890371,86.4787563613232
ERI,1589.65921322686,0,0
FJI,3385.51401964236,1189.39310550547,35.131832230047
FSM,3192.4070832267,56.0232095044484,1.75488927457908
GLP,113.976391635365,112.555099805706,98.7529945374956
GRD,51.0642876928066,3.90098778328536,7.63936590431456
GUM,137.697180528759,9.34213070649094,6.78454756344106
HKG,0.013890232136715,0.013890232136715,100
HND,670.801733778297,192.31144310564,28.6688947600722
HTI,329.183436404824,115.948344541669,35.2230190583093
IDN,20000.3506525767,6834.15350964892,34.1701684553638
IND,2047.84398562688,213.736881458599,10.4371662567435
IOT,1821.9859234622,1821.9859289491,100.00000030115
IRN,118.704656633283,1.72909817243414,1.4566388728758
ISR,0.945462084995146,0.61670332215524,65.2277158378493
JAM,439.426648478465,72.7253032237843,16.5500438982476
JOR,2.87061361100377,1.47023702455001,51.2168206446952
JPN,1042.92789149626,747.379178037411,71.6616349156382
KEN,409.576618122416,168.826897919346,41.2198573964703
KEN/SOM,3.98423003839961,0.044314111157688,1.11223776565593
KHM,46.0207850079922,0.154711850288127,0.336178207871201
KIR,1973.21983199274,96.3599195656125,4.8833849124808
KNA,42.0530895424217,41.3694070754992,98.3742396233864
KWT,72.9999665933584,0,0
LCA,29.6514730055974,3.76642391793535,12.7023163983265
LKA,109.602309255782,0.995696871872486,0.908463406139371
MAF,5.74877798652109,5.72477613778026,99.5824878122427
MDG,2414.23636109951,760.439445546393,31.4981357169216
MDV,2714.08446479019,77.6272207598982,2.86016230397233
MEX,934.935922929871,810.510402963446,86.691545707592
MHL,2005.14228692015,384.239809166893,19.1627203552261
MMR,610.29752888229,40.5372188813778,6.64220596724657
MNP,81.8757250396713,11.1475789431706,13.6152430256578
MOZ,1685.04649921596,239.208116543945,14.1959356406631
MSR,2.4369904619545,0,0
MTQ,72.4298206456462,72.4298223604294,100.00000236751
MUS,745.036822671441,32.5058010178974,4.36297912113163
MYS,1720.58603232462,68.5076049788594,3.9816436778986
MYT,301.836653802585,291.226743362795,96.4848833612073
NCL,4597.98848418954,3809.91227949739,82.8604136917263
NIC,463.944713772899,242.107620472544,52.1845843449045
NIU,15.4634742962833,2.34252446673591,15.148759081256
NRU,5.95528837271631,0,0
OMN,266.794340817866,27.6374482191477,10.3590833802637
PAN,634.644883705637,31.4753580628276,4.95952285615945
PCN,39.5796947747064,33.3193954838219,84.1830531374255
PHL,12091.9974688601,881.135924836408,7.28693441348754
PLW,509.703203572559,509.556119804796,99.9711432522433
PNG,7302.81275165901,347.241751683797,4.75490421967772
PRI,158.999700247162,31.6474886309591,19.9041184239742
PYF,3016.24321666614,16.7167420095398,0.554223940469126
QAT,156.200477759073,0.68778404454209,0.440321344985219
REU,12.1835921584067,10.1836440492845,83.5849059692769
SAU,3429.76663542265,439.658635317823,12.818908166434
SDN,782.230531941096,387.044246011352,49.4795626362098
SGP,3.87642608447635,0,0
SLB,2821.66050451653,167.492479942813,5.93595436710809
SOM,404.832467429358,0.034192346221872,0.008446048420718
SXM,2.20258430370942,0.509657806757408,23.1390828445968
SYC,1503.29447627951,110.65829174184,7.36105224145488
TCA,192.56427964848,17.0328040013824,8.8452562606498
THA,185.136692688288,56.0096531396711,30.2531347656586
TKL,97.1898445549036,3.32600422998058,3.42217259962967
TLS,35.3275754560697,11.0234622944455,31.2035630867263
TON,997.213444448507,165.44711396038,16.5909429803043
TTO,32.225446386253,5.02635093728748,15.597459464306
TUV,891.304137382213,25.2997431408072,2.83850843721126
TWN,376.09012630388,193.297234229001,51.3965192675166
TZA,1825.20818641954,884.888729903985,48.4815231757122
UMI,172.460845679299,172.46084444661,99.9999992852354
USA,4108.99433868722,3735.51348796894,90.9106506377518
VCT,33.5996294419386,18.1914810330733,54.1419097032272
VEN,348.876332778475,232.405583616672,66.615462781834
VGB,137.829144665733,0.589649575068855,0.427811967127045
VIR,33.7435426104012,12.3216024753116,36.515438279778
VNM,422.972136651591,106.078355214699,25.0792773383267
VUT,710.960649434671,12.9252423680325,1.8179968720224
WLF,413.460816205873,0,0
WSM,201.190185500818,24.5059109839443,12.1804703956817
YEM,659.916550098951,1.66571156452459,0.252412454919462
ZAF,1.52515714408931,1.40436124228215,92.0797734007082
