iso3,seagrasses_length,saltmarshes_length,coldcorals_length,coralreefs_length,mangroves_length,multiple_length,buffer,total_coastal_length
AGO,187.9233566047165,10.864358493116827,0.0,0.0,608.38285208604,56.02785750447127,1,2737.1787947922085
AIA,27.94260999587631,0.0,0.0,37.846779662991594,0.0,37.00117104803658,1,105.25508647698886
ALA,85.79368034935817,19.872437220144892,0.0,0.0,0.0,0.0,1,2315.193351334911
ALB,176.6592752050069,180.30340136058152,0.0,0.0,0.0,19.6691274473068,1,914.1903146615699
ARE,828.3036524004389,71.27662858998848,0.0,176.08978217480984,357.1785645488105,1117.0466873905712,1,4117.1640251092085
ASM,2.8195751040523946,0.0,0.0,62.868431930169514,0.0,135.75356473597896,1,201.4415717701899
ATG,8.17991976730706,10.279535260895356,0.0,111.12296470574208,43.47174846313918,116.86326811048794,1,347.46088707293814
AUS,7027.922520584686,3908.2527293547714,8.66665990189554,4503.319474887124,18212.59926052864,27983.15902460116,1,89842.3716864268
AZE,19.0265460471594,0.0,0.0,0.0,0.0,0.0,1,1320.1045204815505
BEN,41.13041681789947,0.0,0.0,0.0,146.0489960637765,17.498117483367878,1,236.60776175584112
BES,6.587279185834418,0.0,0.0,162.9860835014237,3.6511572911078884,29.602307722578132,1,243.52735449389877
BHR,34.33503556333699,0.0,0.0,71.7443895717395,0.0,452.5603933175644,1,597.4917533383563
BHS,497.7635717108677,4.291169412111709,0.035182735363179875,2068.305543646081,7559.214328232484,1263.4844532516245,1,13666.348813959257
BLM,3.5126675497732998,0.0,0.0,17.604688690946656,0.0,33.12240871933441,1,54.925632508514276
BLZ,53.783676778200075,0.0,0.0,4.770541646616756,473.7069577493379,1543.7806113343415,1,2124.5874309319693
BRA,335.1472216852621,314.0463219064096,2.899729601572269,430.66414440609753,26019.95309661383,641.0371886282226,1,66947.90344189947
BRB,9.097869442109076,0.0,0.0,45.054669932048036,0.0,44.84975030299659,1,103.9472639706602
CAN,1982.8833912394173,23416.47452635494,3.9370433747003837,0.0,0.0,2874.087050377018,1,343032.901836461
CHN,1052.1436045730468,8535.413707276666,0.0,428.7332482547617,1521.823425861101,2298.905066903832,1,40269.38470623332
COL,141.49382661449957,0.0,0.0,130.34167156295518,6951.450800478284,425.4946627527064,1,11092.05248314328
COM,11.602269666898035,0.0,0.0,283.85871394497326,0.0,159.67532575539505,1,475.290001233731
CRI,7.217637967090656,0.0,1.1593809576764544,292.6435635522008,1097.9031615922695,68.84847556586368,1,2495.8826219893685
CUB,1458.5020061097312,410.61479987313135,0.0,1014.5203010134685,6130.389999221508,8726.320631588213,1,18410.35625248733
CUW,5.098317318346075,0.0,0.0,124.12013667935256,7.5240963003412515,73.58080767187823,1,238.99131449954018
CXR,27.90739302210048,0.0,0.0,2.1468839163327984,0.0,43.868176534281794,1,73.92245347271391
CYP,103.8311810575179,2.492576466554401,0.0,0.0,0.0,4.003973756976552,1,765.1226132370456
DEU,351.7931708279965,801.4707281297286,0.0,0.0,0.0,334.97929382282825,1,4569.682367339847
DMA,44.80822212237641,0.0,0.0,14.017168139197423,0.0,93.04416904923292,1,162.3164775425585
DNK,2746.116317435161,658.0144550149362,0.0,0.0,0.0,964.3124883774558,1,6987.216690966078
DOM,59.12025712075852,0.0,0.0,572.4168403479761,321.33480123612503,334.09975400029725,1,1723.5192129163725
DZA,82.90500853628606,0.0,0.0,0.0,0.0,0.0,1,1554.3470485246917
EGY,116.07490623113486,12.209161695680509,0.0,1550.6357176610052,6.720536463915229,501.6889543285471,1,4544.097429678127
ERI,2.8416585778693286,0.0,0.0,1208.162234161729,242.49895716535497,595.6393461791073,1,3536.182565806175
ESH,1.2854805722093343,3.858145667094754,0.0,0.0,0.0,0.0,1,1139.1470940968345
ESP,2289.155699507012,913.2783469528896,11.141445067588807,0.0,0.0,88.87512109803907,1,8439.047069754459
EST,2.882458683760416,309.39712884805874,0.0,0.0,0.0,0.7915209831527125,1,2958.1433122807257
FIN,512.1085322340427,1097.994745493302,0.0,0.0,0.0,0.0,1,29925.83802222776
FJI,68.05542658909411,0.5775223253940845,0.0,1537.787912909162,603.8523454880926,2543.194551982925,1,5155.754926349106
FRA,3083.220129089221,977.1786906136158,1.6234892235360063,0.0,0.0,391.8761924080526,1,8222.136563640885
FSM,0.2168586435955492,0.0,0.0,813.7936588115388,18.671292531766973,654.8132832636951,1,1487.4950932505474
GBR,2284.6797668431,3142.934315054078,0.0,0.0,0.0,688.1747569819794,1,22482.633378367813
GGY,16.54055191641285,0.0,0.0,0.0,0.0,0.0,1,149.61686025613818
GHA,275.0480840517402,0.0,0.0,0.0,97.17401021610863,51.999036434992206,1,652.7252283650257
GIN,103.48670401280329,0.0,0.0,0.0,3313.3416260459994,1181.8332705436292,1,4760.1245112854
GLP,111.35791578920693,0.0,0.0,70.50044137640987,18.508519468386353,291.796150945494,1,501.15621889011265
GNB,308.9674243336144,0.0,0.0,0.0,4535.055422060831,2782.8844836388207,1,7799.475021324347
GRC,2525.74950507572,136.82660539960548,0.0,0.0,0.0,74.17621999402405,1,15729.525078248967
GRD,3.988520586662564,0.0,0.0,103.87445112880799,2.901146707060224,107.68807795152073,1,231.5536613217194
GRL,0.2601399375993131,639.1714396622398,14.026299621620701,0.0,0.0,0.0,1,95345.10349135539
GTM,3.875716777760122,0.0,0.0,2.7754948585353394,454.12816193933,8.477529122032374,1,673.4221483288385
GUM,4.795692540288128,0.0,0.0,2.113867936875574,0.0,198.3857387815683,1,205.34186472897625
HKG,293.79590783706436,6.501411895535683,0.0,4.704534384019778,7.676368145552545,9.302871236670104,1,796.9727434636768
HND,259.7084833546633,0.0,0.0,78.95894934431017,1410.8701342428128,512.1498115448826,1,2572.2034568543936
HRV,1394.8391552253438,89.16012729244099,0.7034958668723638,0.0,0.0,6.908600714451513,1,5899.422995080822
HTI,72.79050192833513,0.0,0.0,757.3058922133687,496.0487884429481,501.2642598173038,1,2245.6202087083275
