Habitat,ISO3,Citation
coralreefs,COK,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
coralreefs,COK,"Lewis, K.B., Rongo, T.T., &  Utanga, A.T. (1982) New Zealand Oceanographic Institute Chart, Island Series. Penrhyn."
coralreefs,COK,"Petroconsultants SA (1990). Mundocart/CD. Version 2.0. 1: 1 000 000 world map prepared from the Operational Navigational Charts of the United States Defense Mapping Agency. Petroconsulants (CES) Ltd, London, UK."
seagrasses,COL,"Botero, L., & Álvarez-León, R. (2000). The Caribbean coast of Colombia. 663-675. Seas at the millennium: an environmental evaluation. Elsevier Science, Amsterdam."
cold-water corals,COL,"Cairns, S. D. (1979). The deep-water Scleractinia of the Caribbean Sea and adjacent waters. Studies on the Fauna of Curaçao and other Caribbean Islands, 57(1), 1-341."
seagrasses,COL,CARICOMP. (1996). Variation in ecological parameters of Thalassia testudinum across the CARICOMP network. 663-668.
seagrasses,COL,"D¡az, J.M., G¢mez, D.I. & Barrios, L.M. (2002). Distribucion, estructura y clasificacion de las praderas de fanerogamas marinas en el Caribe colombiano. Santa Marta, Colombia: Colciencias-INVEMAR."
cold-water corals,COL,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
coralreefs,COL,"Díaz J.M., Garzón-Ferreira J., & Zea S. Academia Colombiana de Ciencieas Exactas, Físicas y Naturales (1985) Los Arrecifes Coralinos de la Isla de San Andres, Colombia: Estado actual y perspecitvas para su conservation."
seagrasses,COL,"Garzon-Ferreira, J. (1998). Bahia de Chengue, Parque Natural Tayrona, Colombia. In: Kjerfve, B. (Ed.)  CARICOMP - Caribbean Coral Reef, Seagrass and Mangrove Sites: 115-125."
coralreefs,COL,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1990). Colombia - North Coast: Isla Fuerte to Cabo Tiburón including Golfo de Urabá. British Admiralty Chart No. 1278.
coralreefs,COL,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1991). Colombia - North Coast: Bahía Santa Marta to Punta Canoas. British Admiralty Chart No. 1276.
coralreefs,COL,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1991). Colombia - North Coast: Punta Canoas to Isla Fuerte. British Admiralty Chart No. 1277.
coralreefs,COL,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (n.d.). Ports on the North Coast of Colombia. British Admiralty Chart No. 2267-3.
coralreefs,COL,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
coralreefs,COL,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,COL,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
mangroves,COL,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
cold-water corals,COL,"Opresko, D. M. (1972). Biological results of the University of Miami Deep-Sea Expeditions. 97. Redescriptions and reevaluations of the antipatharians described by LF de Pourtales. Bulletin of Marine Science, 22(4), 950-1017."
coralreefs,COL,"Petroconsultants SA (1990). Mundocart/CD. Version 2.0. 1: 1 000 000 world map prepared from the Operational Navigational Charts of the United States Defense Mapping Agency. Petroconsulants (CES) Ltd, London, UK."
seagrasses,COL,"Phillips, R. C. (1992). The seagrass ecosystem and resources in Latin America. In Coastal plant communities of Latin America (pp. 107-121). Academic Press."
cold-water corals,COL,"Reyes, J., Santodomingo, N., Gracia, A., Borrero-Pérez, G., Navas, G., Mejía-Ladino, L.M., Bermúdez, A. & Benavides, M. (2005). Southern Caribbean azooxanthellate coral communities off Colombia. In: Cold water corals and ecosystems (ed. Freiwald, A. & Roberts, J.M.). Springer-Verlag, Berlin Heidelberg, pp 309-330"
coralreefs,COL,"UNEP/IUCN (1988). Coral Reefs of the World: Volume 1: Atlantic and Eastern Pacific. UNEP Regional Seas Directories and Bibliographies.  IUCN, Gland, Switzerland and Cambridge, U.K./UNEP, Nairobi, Kenya. Xlix  + 373 pp., 38 maps."
coralreefs,COL,"Universidad Simón Bolívar, Funindes, Intecmar & The Nature Conservacy (TNC). (2007) Corales someros."
cold-water corals,COL,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
coralreefs,COM,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,COM,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
mangroves,COM,"Spalding MD, Blasco F, Field CD (Eds.) (1997). World Mangrove Atlas. Okinawa (Japan): International Society for Mangrove Ecosystems. 178 pp. Compiled by UNEP-WCMC, in collaboration with the International Society for Mangrove Ecosystems (ISME). URL: https"
coralreefs,CPT,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
cold-water corals,CPV,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,CPV,"Grasshoff, M. (1986). Die Gorgonaria des Expeditionen von «Travailleur» 1880-1882 und «Talisman» 1883 (Cnidaria, Anthozoa). Bulletin du Muséum national d'histoire naturelle. Section A, Zoologie, biologie et écologie animales, 8(1), 9-38."
cold-water corals,CPV,"Gravier, C., 1920. Madréporaires provenant des campagnes des yachts Princesse-Alice et Hirondelle II (1893-1913). Résultats des Campagnes scientifiques du Prince Albert Ier de Monaco, 55: 1-123, plates 1-16."
cold-water corals,CPV,"Thomson, 1927 Alcyonaires provenant des campagnes scientifiques du Prince Albert ler de Monaco.Res. camp. sci. Monaco 73 77 pp"
cold-water corals,CPV,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,CPV,"Zibrowius, H. (1980). Les scleractiniaires de la Mediterranee et de l'Atlantique nord-oriental. Memoires de l'Institut oceanographique, Monaco. URL: https://www.worldcat.org/title/scleractiniaires-de-la-mediterranee-et-de-latlantique-nord-oriental/oclc/715051958"
mangroves,CRI,"Bravo-Chacón, J., & Rivera-Quintanilla, L. Mapas de humedales de Costa Rica: información complementaria."
seagrasses,CRI,Bureau of the Convention on Wetlands. (2003). Ramsar Sites Database Service. Retrieved from https://rsis.ramsar.org
seagrasses,CRI,"Cortes, J. (1998). Cahita and Laguna Gandoca, Costa Rica. In: Kjerfve, B. (Ed.)  CARICOMP - Caribbean Coral Reef, Seagrass and Mangrove Sites: 107-113."
coralreefs,CRI,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1993). Ports on the Caribbean Coast of Costa Rica. Chart 1798. Panel:  Puerto Limon. British Admiralty Chart No. 1798-2.
coralreefs,CRI,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1993). Ports on the Caribbean Coast of Costa Rica. Chart 1798. Panel: Bahia de Moin. British Admiralty Chart No 1798-1.
coralreefs,CRI,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
coralreefs,CRI,"Instituto Nacional de Biodiversidad, Costa Rica (2009) and Instituto Geográfico Nacional (IGN) (1988). Coral Reefs of Costa Rica."
seagrasses,CRI,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,CRI,"Phillips, R. C. (1992). The seagrass ecosystem and resources in Latin America. In Coastal plant communities of Latin America (pp. 107-121). Academic Press."
saltmarshes,CRI,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
cold-water corals,CRI,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
seagrasses,CUB,"Alcolado, P.M., Menéndez, G., García-Parrado, P., Zúñiga, D., Martínez-Darana, B., Sosa, M. and Gómez, R., 1998. Cayo Coco, Sabana Camagüey Archipelago, Cuba. Caribbean Coastal Marine Productivity (Caricomp): Coral Reef, Seagrass, and Mangrove Site Characteristics. UNESCO. Paris, pp.221-228."
cold-water corals,CUB,"Cairns, S. D. (1979). The deep-water Scleractinia of the Caribbean Sea and adjacent waters. Studies on the Fauna of Curaçao and other Caribbean Islands, 57(1), 1-341."
cold-water corals,CUB,"Cairns, S. D. (2001). Studies on western Atlantic Octocorallia (Coelenterata: Anthozoa) Part 1: The genus Chrysogorgia Duchassaing & Michelotti, 1864. Proceedings of the Biological Society of Washington."
seagrasses,CUB,CARICOMP. (1996). Variation in ecological parameters of Thalassia testudinum across the CARICOMP network. 663-668.
cold-water corals,CUB,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
seagrasses,CUB,"Den Hartog, C. (1970). The Sea-Grasses of the World. Amsterdam, Netherlands: North-Holland. 275+ pp."
cold-water corals,CUB,"Fautin, D. G. (2004). Hexacorallians of the World. http://hercules. kgs. ku. edu/hexacoral/anemone2/index. cfm."
coralreefs,CUB,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
coralreefs,CUB,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,CUB,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
mangroves,CUB,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,CUB,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
seagrasses,CUB,"Quirolo, C. (1998). Reef Relief's 1998 Cuba Expedition. Reef Relief."
saltmarshes,CUB,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
cold-water corals,CUB,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,CUW,"Cairns, S. D. (1979). The deep-water Scleractinia of the Caribbean Sea and adjacent waters. Studies on the Fauna of Curaçao and other Caribbean Islands, 57(1), 1-341."
cold-water corals,CUW,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
mangroves,CUW,Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Aruba. Preliminary Data Atlas. Survey of Conservation Priorities in the Lesser Antilles.
seagrasses,CUW,"Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Curacao, British Virgin Islands: preliminary data atlas. Survey of Conservation Priorities in the Lesser Antilles"
coralreefs,CUW,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,CUW,"Kuenen, M.M.C.E. & Debrot, A.O. (1995). A quantitative study of the seagrass and algal meadows of the Spaanse Water, Curacao, the Netherlands Antilles. Aquatic Botany 51(3-4): 291-310. DOI: 10.1016/0304-3770(95)00478-I"
seagrasses,CUW,"Nagelkerken, I., Kleijen, S., Klop, T., Brand, R.A.C.J.van den, MoriniŠre, E.C.de la, Velde, G. van der. 2001. Dependance of Caribbean reef fish on mangroves and seagrass beds as nursery habitats: a comaprison of fish fauna between bays with and without"
seagrasses,CUW,"Phillips, R. C. (1992). The seagrass ecosystem and resources in Latin America. In Coastal plant communities of Latin America (pp. 107-121). Academic Press."
seagrasses,CUW,"Pors, L.P.J.J., Nagelkerken, I.A. 1998. Curacao, Netherlands Antilles. In: Kjerfve, B. (Ed.)  CARICOMP - Caribbean Coral Reef, Seagrass  and Mangrove Sites: 127-139."
seagrasses,CUW,"Vergeer, L. H. T., & Den Hartog, C. (1994). Omnipresence of Labyrinthulaceae in seagrasses. Aquatic Botany, 48(1), 1-20."
cold-water corals,CUW,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
coralreefs,CXR,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,CYM,"Bush, P.G. (1998). Grand Cayman, British West Indies. In: Kjerfve, B. (Ed.)  CARICOMP - Caribbean Coral Reef, Seagrass and Mangrove Sites: 35-41."
cold-water corals,CYM,"Cairns, S. D. (1979). The deep-water Scleractinia of the Caribbean Sea and adjacent waters. Studies on the Fauna of Curaçao and other Caribbean Islands, 57(1), 1-341."
cold-water corals,CYM,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
seagrasses,CYM,"Den Hartog, C. (1970). The Sea-Grasses of the World. Amsterdam, Netherlands: North-Holland. 275+ pp."
mangroves,CYM,"DoE (Department of the Environment) (1998) Maps of Undisturbed Vegetation in the Cayman islands, Grand Cayman, DoE; GREAT BRITAIN. (1978). Cayman Islands 1:25,000."
coralreefs,CYM,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,CYM,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,CYM,"Phillips, R.C. (2001). Seagrasses - national status report, Caribbean Region. Draft paper submitted to the UNEP-WCMC Global Seagrass Workshop, St Pete's Beach, Florida, 5-9 November, 2005"
seagrasses,CYP,"Belluscio, A., Panayiotidis, P., Gristina, M., Knittweis, L., Pace, M.L., Telesca, L., Criscoli, A., Apostolaki, E.T., Gerakaris, V., Fraschetti, S. & Spedicato, M.T. (2013). Task 1.1. Seagrass beds distribution along the Mediterranean coasts. In: Mediterranean Sensitive Habitats (MEDISEH), final project report (Eds. Giannoulaki et al.). DG - MARE SI2.600741. Hellenic Centre for Marine Research."
seagrasses,CYP,Council of Europe. (2001). Convention on the Conservation of European Wildlife and Natural Habitats. Standing Committee.
saltmarshes,CYP,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
cold-water corals,CYP,"Galil, B., & Zibrowius, H. (1998). First benthos samples from Eratosthenes Seamount, eastern Mediterranean. Senckenbergiana maritima, 28(4-6), 111."
seagrasses,CYP,"Lipkin, Y., Beer, S. & Zakai, D. (2003). The Seagrasses of the Eastern Mediterranean and the Red Sea. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,CYP,"Telesca, L., Belluscio, A., Criscoli, A., Ardizzone, G., Apostolaki, E.T., Fraschetti, S., Gristina, M., Knittweis, L., Martin, C.S. et al. 2015. Seagrass meadows (Posidonia oceanica) distribution and trajectories of change. Scientific reports, 5."
seagrasses,DEU,"Boström, C., Baden, S., & Krause-Jensen, D. (2003). Scandanavia and the Baltic Sea Region. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,DEU,"Esping, L-E., & Gronqvist, G. (1995). Marine Region 6: Baltic. In: Kelleher, G. Bleakley, C. Wells, S. (Eds). A Global Representative System of Marine Protected Areas.Vol. 1: Antarctic, Arctic, Mediterranean, Northwest Atlantic, Northeast Atlantic and Baltic"
saltmarshes,DEU,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
saltmarshes,DEU,"Federal Institute of Hydrology (2006). Biotoptypenkartierung 2006, Elbe. Koblenz, Germany."
seagrasses,DEU,"Feldner, J. (1977). Ökologische und produktionsbiologische Untersuchungen am Seegras Zostera marina L. in der Kieler Bucht (westliche Ostsee) (Doctoral dissertation, Christian-Albrechts-Universität Kiel)."
seagrasses,DEU,"Hily, C., van Katwijk, M. M. & den Hartog, C. (2003). The Seagrasses of Western Europe. 38-47.  In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,DEU,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
saltmarshes,DEU,"Landesamt für Landwirtschaft, Umwelt und ländliche Räume des Landes Schleswig-Holstein, Abteilung Naturschutz, Dezernat Biodiversität. (2002). Salt meadows on the Schleswig-Holstein Baltic coast. Flintbek, Germany"
seagrasses,DEU,OSPAR Commission. (2015) OSPAR Threatened and/or Declining Habitats 2015. URL: http://www.ospar.org/work-areas/bdc/species-habitats/list-of-threatened-declining-species-habitats. Data URL: http://www.emodnet-seabedhabitats.eu/download.
saltmarshes,DEU,Rijkswaterstaat Dienst Zeeland WSW Netherlands. (2009). Netherland Saltmarshes
saltmarshes,DEU,WSA Bremerhaven. (2009). Vegetationskartierung der Deichvorländer an Unter- und Außenweser und im Gebiet Lesum/Hamme/Wümme. Bremerhaven (Germany): WSA Bremerhaven.
mangroves,DJI,"Forgiarini, G., & César, J. (1987). Carte de la végétation et des ressources pastorales. République de Djibouti."
coralreefs,DJI,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1985). Straits of Bab el Mandeb to Aden Harbour. British Admiralty Chart No. 3661.
coralreefs,DJI,Her Majesty’s Stationery Office (HSMO) and UK Hydrographic Office. (1993). Gulf of Aden. British Admiralty Chart No. 6.
coralreefs,DJI,"UNEP-WCMC (2009).  Coral reef polygons digitized by UNEP-WCMC  on-screen from ArcGISOnline World_Imagery (MapServer) at an approximate scale of 1: 10,000. Source: ESRI, i-cubed, USDA FSA, USGS, AEX, GeoEye, Getmapping."
cold-water corals,DMA,"Cairns, S. D. (1979). The deep-water Scleractinia of the Caribbean Sea and adjacent waters. Studies on the Fauna of Curaçao and other Caribbean Islands, 57(1), 1-341."
seagrasses,DMA,Caribbean Conservation Association. (1991). Dominica: country environmental profile.: xvii + 239.
cold-water corals,DMA,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
mangroves,DMA,Eastern Caribbean Natural Area Management Program (ECNAMP). (1980). Aruba. Preliminary Data Atlas. Survey of Conservation Priorities in the Lesser Antilles.
coralreefs,DMA,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,DMA,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
seagrasses,DMA,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
cold-water corals,DMA,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
seagrasses,DNK,"Bak, P. H. (1980). Age populations and biometrics in eelgrass, Zostera marina L. Ophelia, 19(2), 155-162."
seagrasses,DNK,"Boström, C., Baden, S., & Krause-Jensen, D. (2003). Scandanavia and the Baltic Sea Region. In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
saltmarshes,DNK,European Environment Agency. (2011). Corine Land Cover 2006 seamless vector data. Version 15 (08/2011). URL: http://www.eea.europa.eu/data-and-maps/data/clc-2006-vector-data-version-1
seagrasses,DNK,"Hily, C., van Katwijk, M. M. & den Hartog, C. (2003). The Seagrasses of Western Europe. 38-47.  In: World Atlas of Seagrasses. Green EP and Short FT, eds. Berkeley, California (USA): University of California Press."
seagrasses,DNK,"Olsen, B. 1999. Reproduction in Danish eelgrass (_Zostera marina_) stands: size dependance and biomass partitioning. 209-219."
seagrasses,DNK,OSPAR Commission. (2015) OSPAR Threatened and/or Declining Habitats 2015. URL: http://www.ospar.org/work-areas/bdc/species-habitats/list-of-threatened-declining-species-habitats. Data URL: http://www.emodnet-seabedhabitats.eu/download.
seagrasses,DNK,"Sand-Jensen K. 1975. Biomass, net production and growth dynamics in an eelgrass (Zostera marina L.) population in Vellerup Vig, Denmark. Ophelia 14(1-2)."
seagrasses,DNK,"Terrados, J., Duarte, C. M., Kamp-Nielsen, L., Agawin, N. S. R., Gacia, E., Lacap, D., Fortes, M.D., Borum, J., Lubanski, M. & Greve, T. (1999). Are seagrass growth and survival constrained by the reducing conditions of the sediment?. Aquatic Botany, 65(1-4), 175-197."
cold-water corals,DNK,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,DOM,"Cairns, S. D. (1979). The deep-water Scleractinia of the Caribbean Sea and adjacent waters. Studies on the Fauna of Curaçao and other Caribbean Islands, 57(1), 1-341."
cold-water corals,DOM,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
seagrasses,DOM,"Den Hartog, C. (1970). The Sea-Grasses of the World. Amsterdam, Netherlands: North-Holland. 275+ pp."
coralreefs,DOM,"IMaRS-USF, IRD (Institut de Recherche pour le Developpement) (2005). Millennium Coral Reef Mapping Project. Validated maps. Cambridge (UK): UNEP World Conservation Monitoring Centre"
seagrasses,DOM,"IUCN & UNEP-WCMC. (2003). The World Database on Protected Areas (WDPA) [On-line]. Cambridge, UK: UNEP-WCMC. Available at: www.protectedplanet.net."
mangroves,DOM,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
seagrasses,DOM,National Geographic Society (2000). Coral World. 1:28 510 000. 1 pp.
cold-water corals,DOM,"Yesson C, Taylor ML, Tittensor DP, Davies AJ, Guinotte J, Baco A, Black J, Hall-Spencer JM, Rogers AD (2012). Global habitat suitability of cold-water Octocorals. Journal of Biogeography 39: 1278-1292. DOI: https://doi.org/10.1111/j.1365-2699.2011.02681.x"
cold-water corals,DZA,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
seagrasses,DZA,"Hughes, R.H. & Hughes, J.S. (1992). A Directory of African Wetlands. Gland, Switzerland: IUCN."
saltmarshes,DZA,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
cold-water corals,DZA,"Schröder-Ritzrau, A., Freiwald, A., & Mangini, A. (2005). U/Th-dating of deep-water corals from the eastern North Atlantic and the western Mediterranean Sea. In Cold-water corals and ecosystems (pp. 157-172). Springer, Berlin, Heidelberg."
seagrasses,DZA,"Telesca, L., Belluscio, A., Criscoli, A., Ardizzone, G., Apostolaki, E.T., Fraschetti, S., Gristina, M., Knittweis, L., Martin, C.S. et al. 2015. Seagrass meadows (Posidonia oceanica) distribution and trajectories of change. Scientific reports, 5."
cold-water corals,ECU,"Esper, 1794"
cold-water corals,ECU,"Cairns, S. D. (1991). A revision of the ahermatypic Scleractinia of the Galápagos and Cocos Islands. Smithsonian Contributions to Zoology."
cold-water corals,ECU,"Cairns, S. D. (1994). Scleractinia of the temperate North Pacific. Smithsonian Contributions to Zoology."
cold-water corals,ECU,"Cheng, H., Adkins, J., Edwards, R. L., & Boyle, E. A. (2000). U-Th dating of deep-sea corals. Geochimica et Cosmochimica Acta, 64(14), 2401-2416."
cold-water corals,ECU,Davies A.J. & Guinotte J.M. (2011) Global Habitat Suitability for Framework-Forming Cold-Water Corals. PLoS ONE 6(4): e18483. DOI: https://doi.org/10.1371/journal.pone.0018483
cold-water corals,ECU,"Duchassaing, P. & Michelotti, J. (1864). Supplément au mémoire sur les coralliaires des Antilles. Extrait des mémoires de l’Académie des Sciences de Turin, 23, 1-112."
coralreefs,ECU,"Glynn, PW & Wellington (1983). Corals and Coral Reefs of the Galapagos Islands. GM. University of California Press. Berkeley, USA. 330pp."
coralreefs,ECU,"IMaRS-USF (Institute for Marine Remote Sensing-University of South Florida) (2005). Millennium Coral Reef Mapping Project. Unvalidated maps. These maps are unendorsed by IRD, but were further interpreted by UNEP World Conservation Monitoring Centre. Cambridge (UK): UNEP World Conservation Monitoring Centre"
cold-water corals,ECU,"J.F. Adkins, E.A. Boyle, W.B. Curry, A. Lutringer, Stable isotopes in deep-sea corals and a new mechanism for “vital effects”, Geochimica et Cosmochimica Acta, Volume 67, Issue 6, 15 March 2003, Pages 1129-1143, ISSN 0016-7037, 10.1016/S0016-7037(02)01203-6."
saltmarshes,ECU,Ministerio de Agricultura Peru. (2011). Humedales Costeros (Peru).
mangroves,ECU,"NASA Landsat Program, 2003, Landsat Imagery, USGS, Sioux Falls, 10/26/2003"
saltmarshes,ECU,Ramsar Secretariat. Ramsar Sites Information Service. URL: https://rsis.ramsar.org/
cold-water corals,ECU,"Rogers, A. D. (1999). The Biology of Lophelia pertusa (Linnaeus 1758) and Other Deep-Water Reef-Forming Corals and Impacts from Human Activities. International review of hydrobiology, 84(4), 315-406. DOI: https://doi.org/10.1002/iroh.199900032"
