"","ISO3","total_area","protected_area","percent_protected","presence"
"1","AGO","4.1149203726672","0.997746601119674","24.2470451614829","2"
"2","ALA","0.758065181942218","0.0223359849498313","2.94644649060453","2"
"3","ALB","54.5599588089528","46.2691076755062","84.8041470073724","2"
"4","ARE","55.5296555220255","10.4604462768005","18.83758539192","2"
"5","ARG","4761.72677011559","2018.00084481145","42.3796018174823","2"
"6","ASM","1.99672928573158","0.416946293028692","20.8814633014173","2"
"7","ATG","25.9888750497518","22.8824971535496","88.0472783440778","2"
"8","AUS","13186.5854733994","4233.86136291207","32.1073364401483","2"
"9","AZE","0.997746551912462","0","0","2"
"10","BEL","4.40658084853609","3.63699642744118","82.5355656109075","2"
"11","BGR","1.31334207952052","0.315595516547506","24.0299554448697","2"
"12","BHR","18.825165564829","0","0","2"
"13","BHS","325.608363124706","290.799712520345","89.3096570768886","2"
"14","BIH","25.5796968205445","2.90105669851679","11.3412473919033","2"
"15","BRA","2906.19188544046","959.091952549451","33.0016733359674","2"
"16","CAN","68200.0819304647","51092.6446826336","74.9158112958376","2"
"17","CHL","656.328812728532","380.463248100537","57.9683903436832","2"
"18","CHN","5419.02276794656","243.428453396519","4.49210981058051","2"
"19","COK","0.997746574117134","0.0512651389028184","5.1380922002344","2"
"20","CRI","5.99285380428272","4.37318783012831","72.9733775084428","2"
"21","CUB","7006.41806381695","6247.17944365462","89.1636694635274","2"
"22","CYP","19.5672692581967","18.445392559763","94.2665648250137","2"
"23","DEU","203.070924334074","199.638514480795","98.3097482495167","2"
"24","DJI","0.997746615863708","0","0","2"
"25","DNK","304.35344656917","292.344979537403","96.0544336963709","2"
"26","DPT","2.20711201408454","1.57327617365865","71.2821172472847","2"
"27","DZA","1.99549318096299","1.99549318096299","100","2"
"28","ECU","647.623192486668","283.126891384029","43.7178431329662","2"
"29","EGY","54.9727062852492","21.5683987515263","39.2347406722338","2"
"30","ESH","0.844751589802631","0","0","2"
"31","ESP","883.581568353256","850.033361686282","96.2031568031124","2"
"32","EST","224.049755459842","208.053198979726","92.8602660389947","2"
"33","FIN","132.473784150712","87.6793335231116","66.1861772011895","2"
"34","FJI","1293.16442384894","160.821479169865","12.4362746301975","2"
"35","FRA","800.795474470054","770.841251574716","96.2594415365345","2"
"36","GBR","562.145102585156","520.383766630174","92.5710753748573","2"
"37","GEO","5.99285533754899","0.997746608475603","16.6489353117552","2"
"38","GHA","99.9718050598989","0","0","2"
"39","GMB","199.970134859195","141.675904269983","70.8485316418581","2"
"40","GRC","139.963577422363","111.556040394786","79.7036217916515","2"
"41","GRL","3912.02346593456","3585.91323871017","91.6638990010127","2"
"42","GUM","0.0799664104189736","0.0071861817836339","8.98650038932951","2"
"43","HKG","0.406171444268296","0","0","2"
"44","HND","63.2926360295864","44.324921266749","70.0317194026002","2"
"45","HRV","94.7787316824984","90.6896734574201","95.6856795269466","2"
"46","IND","1671.31456030351","4.22103421615563","0.252557736072681","2"
"47","IRL","99.0772220269396","87.9841144263775","88.8035742488361","2"
"48","IRN","18260.2002586378","3577.23063098187","19.5903143465785","2"
"49","IRQ","6599.20091699695","93.7330257145621","1.4203693279461","2"
"50","ISL","43.2733328494041","11.3714023145026","26.278082980288","2"
"51","ITA","439.330971322335","415.5001593094","94.5756585425318","2"
"52","JPN","8.97971914745799","5.79177809321453","64.4984325022468","2"
"53","KEN","1.99549315523612","0","0","2"
"54","KHM","0.224005694915426","0","0","2"
"55","KOR","224.946095698903","32.9308196555044","14.6394270828258","2"
"56","KWT","11298.539567458","1296.76979656158","11.4773222576175","2"
"57","LBY","1.99549318826622","0","0","2"
"58","LKA","77.9581897419449","27.9297802043775","35.8266146210294","2"
"59","LTU","0.997746588514625","0.997746588514625","100","2"
"60","LVA","8.69488754116547","7.75612314326578","89.2032600369452","2"
"61","MAC","1.00019403411015","0","0","2"
"62","MAR","66.9772220158362","66.9772220158362","100","2"
"63","MDG","57.8254575569581","36.2673877889383","62.7187216862311","2"
"64","MEX","15313.8077049954","11411.1351579979","74.5153352962346","2"
"65","MLT","0.997746560380426","0.63971417991643","64.1158992993688","2"
"66","MNE","1.05026221431482","1.00544716088894","95.7329652714288","2"
"67","MNP","0.00161727442105768","0.000976257153091943","60.3643475949789","2"
"68","MRT","12133.4739510172","2453.47937716563","20.2207495319997","2"
"69","NAM","210.001163308001","142.708619541206","67.9561090487392","2"
"70","NCL","0.997746576236889","0","0","2"
"71","NIC","753.057928004391","476.798593125415","63.314995486328","2"
"72","NLD","151.502737116509","147.321871698097","97.240402716159","2"
"73","NOR","48.9701862272995","21.1154170430783","43.1189233078862","2"
"74","NZL","196.284991263459","46.9793642996655","23.9342621141158","2"
"75","OMN","1.21354406908681","0.997746597181646","82.217582582926","2"
"76","PAK","4001.05317745601","3630.53237403778","90.7394181735467","2"
"77","PAN","220.964892508235","87.8134211868763","39.7408928586263","2"
"78","PER","289.643978234784","47.613377373573","16.4385870073148","2"
"79","PHL","1.99549315169896","0","0","2"
"80","POL","8.89058028986526","7.60049280434893","85.4892769261985","2"
"81","PRI","58.4387258259773","12.9139516523662","22.0982772465338","2"
"82","PRK","6.84620989693073","0","0","2"
"83","PRT","198.935384038407","184.660769094394","92.82449675154","2"
"84","QAT","3.15292255692798","0.997746562330184","31.6451338183938","2"
"85","ROU","54.7215575295328","54.7215575295328","100","2"
"86","RUS","9405.84974382401","3326.67668772347","35.3681674524708","2"
"87","SAU","420.574017110933","0","0","2"
"88","SDN","0.997746578501967","0","0","2"
"89","SOM","0.99774657513536","0","0","2"
