ISO3,total_area,protected_area,percent_protected,presence
HTI,748.6302821,10.88962733,1.454606845,2
IDN,17597.08315,3548.055534,20.16274802,2
IMN,6.51549E-05,6.51549E-05,100,2
IND,4229.409283,0.001024088,2.42135E-05,2
IRL,3.65161555,3.64957673,99.94416661,2
IRN,2704.38381,290.7007184,10.74924045,2
IRQ,74.87882738,0,0,2
ISL,8.99774E-05,3.72321E-05,41.37936807,2
ISR,17.39566938,1.939634854,11.15010185,2
ITA,3724.985608,1842.900497,49.47403001,2
JAM,791.6962023,132.7625682,16.76938298,2
JEY,4.03343E-05,4.03343E-05,100,2
JOR,1.37053977,0,0,2
JPN,473.7327756,405.0927174,85.51080657,2
KAZ,7.44645E-05,3.10267E-05,41.66644601,2
KEN,116.0616842,72.61264681,62.56384037,2
KHM,1.86158E-05,6.20524E-06,33.33320066,2
KIR,496.2341908,0,0,2
KNA,60.08679097,52.07103414,86.65970225,2
KOR,0.000319574,9.308E-05,29.12628889,2
KWT,1584.368924,192.3090884,12.13789828,2
LBN,9.30798E-06,0,0,2
LBY,11.51678471,0,0,2
LCA,6.613645464,4.270949636,64.57784379,2
LKA,2867.852843,4.047682729,0.141139834,2
LTU,6.20528E-06,3.10264E-06,49.99991533,2
MAF,48.62595516,47.02905145,96.71594377,2
MAR,1.24108E-05,6.2054E-06,50.00014146,2
MCO,0.423292301,0.423289199,99.99926701,2
MDG,5764.783444,1181.889851,20.50189503,2
MDV,2400.96703,25.50429704,1.062251031,2
MEX,9758.423516,5913.053533,60.59435239,2
MHL,525.8356504,2.003983469,0.381104527,2
MLT,70.41108267,64.40706119,91.47290277,2
MMR,2933.54998,9.656281184,0.329167093,2
MNE,6.20547E-06,0,0,2
MNP,1.24105E-05,3.10263E-06,25.00007734,2
MOZ,689.8336798,648.9513735,94.07359955,2
MRT,1.86158E-05,1.55132E-05,83.33339847,2
MSR,12.99992361,0,0,2
MTQ,548.7740375,541.9925491,98.76424759,2
MUS,132.3056058,4.34373E-05,3.2831E-05,2
MYS,540.556782,98.8692416,18.29026013,2
MYT,161.8689676,148.4901421,91.7347805,2
NCL,1469.298834,1173.610321,79.87553614,2
NFK,3.10269E-06,0,0,2
NGA,8829.355773,1.148234339,0.013004735,2
NIC,5532.423809,914.113881,16.52284627,2
NLD,1.122541864,1.122535659,99.99944721,2
NOR,62.27841769,11.98408999,19.24276569,2
NZL,0.000158236,2.17184E-05,13.72534361,2
OMN,4.96432E-05,6.20542E-06,12.50005862,2
PAN,1791.345207,91.36694576,5.100465584,2
PHL,14945.98472,4339.651048,29.0355646,2
PLW,727.4328449,720.3429449,99.02535332,2
PNG,9226.265389,1107.79264,12.00694532,2
POL,2.65949332,2.659487114,99.99976667,2
PRI,600.6546,123.3863557,20.54198132,2
PRK,3.72318E-05,0,0,2
PRT,0.038047462,0.001721384,4.524307752,2
PYF,785.1988949,0,0,2
QAT,1147.194976,87.71274955,7.645844983,2
REU,3.10269E-06,0,0,2
ROU,1.55133E-05,1.24106E-05,79.99986005,2
RUS,680.042559,15.41743948,2.26712862,2
SAU,20983.36203,331.5316967,1.579974154,2
SDN,4439.92729,3.10266E-06,6.98809E-08,2
SEN,1482.058494,482.2959352,32.54230094,2
SGP,127.0494055,0,0,2
SLB,1253.887969,167.1690763,13.3320584,2
SLE,4411.132434,1.177889234,0.02670265,2
SOM,9.30805E-06,0,0,2
STP,3.10257E-06,0,0,2
SUR,6.20529E-06,3.10263E-06,49.99973875,2
SVN,0.085102378,4.51089E-05,0.053005497,2
SWE,33.87931189,18.82019373,55.55069653,2
SXM,24.1557061,0.723838073,2.996551084,2
SYC,5.58478E-05,1.8616E-05,33.3334231,2
SYR,4.65405E-05,0,0,2
TCA,951.9578979,66.32897443,6.96763739,2
TGO,189.8222066,0,0,2
THA,1822.150234,1408.502136,77.29890266,2
TKM,2.48213E-05,3.10267E-06,12.500042,2
TLS,334.7836364,4.005725709,1.196511799,2
TON,3684.589058,184.7012686,5.012805111,2
TTO,1.11733615,0.582254174,52.11092234,2
TUN,4988.245786,122.9022409,2.463836912,2
TUR,0.260102583,3.10272E-06,0.001192883,2
TWN,1241.93971,136.989767,11.03030735,2
TZA,45.76915024,1.605895559,3.508685547,2
UKR,155.695511,93.57686355,60.10248011,2
USA,13940.22969,8524.270082,61.14870608,2
VCT,0.311822714,0.040396716,12.95502663,2
VEN,1286.25383,98.43350564,7.652727892,2
VGB,40.74168062,0.111369109,0.273354234,2
VIR,83.75281333,25.86737641,30.88538209,2
VNM,233.6158747,22.92150795,9.811622594,2
VUT,1237.733143,3.179871694,0.256910927,2
WSM,982.8723327,47.37314431,4.819867518,2
xKI,3.10262E-06,3.10262E-06,100,2
YEM,5455.4819,6.20522E-06,1.13743E-07,2
ZAF,405.5657793,405.5657318,99.99998828,2
AFG,-,-,-,0
AND,-,-,-,0
ARG,-,-,-,2
ARM,-,-,-,0
ATA,-,-,-,0
AUT,-,-,-,0
BDI,-,-,-,0
BEL,-,-,-,1
BFA,-,-,-,0
BGR,-,-,-,2
BIH,-,-,-,1
BLR,-,-,-,0
BOL,-,-,-,0
BRN,-,-,-,2
BTN,-,-,-,0
BVT,-,-,-,0
BWA,-,-,-,0
CAF,-,-,-,0
CHE,-,-,-,0
CIV,-,-,-,1
CMR,-,-,-,0
COD,-,-,-,1
COG,-,-,-,0
COK,-,-,-,0
CPV,-,-,-,2
CZE,-,-,-,0
DJI,-,-,-,1
ECU,-,-,-,2
ETH,-,-,-,0
FLK,-,-,-,1
FRO,-,-,-,1
GAB,-,-,-,2
GEO,-,-,-,1
GIB,-,-,-,1
GMB,-,-,-,2
GNQ,-,-,-,2
GUF,-,-,-,1
GUY,-,-,-,1
HMD,-,-,-,0
HUN,-,-,-,0
IOT,-,-,-,2
KGZ,-,-,-,0
LAO,-,-,-,0
LBR,-,-,-,1
LIE,-,-,-,0
LSO,-,-,-,0
LUX,-,-,-,0
LVA,-,-,-,2
MAC,-,-,-,1
MDA,-,-,-,0
MKD,-,-,-,0
MLI,-,-,-,0
MNG,-,-,-,0
MWI,-,-,-,0
NAM,-,-,-,1
NER,-,-,-,0
NIU,-,-,-,1
NPL,-,-,-,0
NRU,-,-,-,0
PAK,-,-,-,1
PCN,-,-,-,0
PER,-,-,-,2
PRY,-,-,-,0
PSE,-,-,-,1
RWA,-,-,-,0
SGS,-,-,-,0
SHN,-,-,-,2
SJM,-,-,-,0
SLV,-,-,-,1
SMR,-,-,-,0
SPM,-,-,-,1
SRB,-,-,-,0
SSD,-,-,-,0
SVK,-,-,-,0
SWZ,-,-,-,0
TCD,-,-,-,0
TJK,-,-,-,0
TKL,-,-,-,0
TUV,-,-,-,2
UGA,-,-,-,0
UMI,-,-,-,2
URY,-,-,-,1
UZB,-,-,-,0
VAT,-,-,-,0
WLF,-,-,-,2
ZMB,-,-,-,0
ZWE,-,-,-,0
