status,abbreviation,number_of_species
Not Evaluated,NE,62
Data Deficient,DD,139
Least Concern,LC,303
Near Threatened,NT,174
Vulnerable,VU,203
Endangered,EN,29
Critically Endangered,CR,5
Extinct in the Wild,EW,0
Extinct,EX,0
