SourceID,Geographic_scope,Title,Author1,Author2,Author3,Year,Publisher,Link
1,Global,World Atlas of Coral Reefs,M. D. Spalding,C. Ravilious,E. P. Green,2001,UNEP-WCMC,
2,Global,World Register of Marine Species,WoRMS Editorial Board,,,2019,WoRMS,http://marinespecies.org/
3,Global,The IUCN Red List of Threatened Species,IUCN,,,2019,IUCN,http://www.iucnredlist.org
4,Global,Corals of the World,J. Veron,M. Stafford-Smith,,2000,Australian Institute of Marine Science,
