country,iso3,occurrence,peer_reviewed_evidence,number_of_species
Estonia,EST,0,1; 4;,0
Ethiopia,ETH,0,Inland,0
Falkland Islands (Malvinas),FLK,0,1; 4;,0
Faroe Islands,FRO,0,1; 4;,0
Finland,FIN,0,1; 4;,0
French Guiana,GUF,1,N/A,0
French Southern and Antarctic Territories,ATF,0,1; 4;,0
Georgia,GEO,0,1; 4;,0
Germany,DEU,0,1; 4;,0
Greenland,GRL,0,1; 4;,0
Guernsey,GGY,0,1; 4;,0
Heard Island and McDonald Islands,HMD,0,1; 4;,0
Holy See (the),VAT,0,Inland,0
"Hong Kong Special Administrative Region of China, the",HKG,1,N/A,0
Hungary,HUN,0,Inland,0
Iceland,ISL,0,1; 4;,0
Iran (Islamic Republic Of),IRN,2,1;,0
Ireland,IRL,0,1; 4;,0
Isle of Man,IMN,0,1; 4;,0
Jersey,JEY,0,1; 4;,0
Kazakhstan,KAZ,0,1; 4;,0
Kingdom of Eswatini,SWZ,0,Inland,0
"Korea, Democratic People's Republic Of",PRK,1,N/A,0
Kyrgyzstan,KGZ,0,Inland,0
Lao People's Democratic Republic,LAO,0,Inland,0
Latvia,LVA,0,1; 4;,0
Lesotho,LSO,0,Inland,0
Liechtenstein,LIE,0,Inland,0
Lithuania,LTU,0,1; 4;,0
Luxembourg,LUX,0,Inland,0
Macao Special Administrative Region of China,MAC,0,1; 4;,0
Malawi,MWI,0,Inland,0
Mali,MLI,0,Inland,0
"Micronesia, Federated States of",FSM,2,1;,0
"Moldova, Republic Of",MDA,0,Inland,0
Mongolia,MNG,0,Inland,0
Namibia,NAM,1,N/A,0
Nepal,NPL,0,Inland,0
Netherlands,NLD,0,1; 4;,0
Netherlands (Antilles),NLD,2,1;,0
Niger,NER,0,Inland,0
North Macedonia,MKD,0,Inland,0
Norway,NOR,0,1; 4;,0
Paraguay,PRY,0,Inland,0
Peru,PER,1,N/A,0
Pitcairn Islands,PCN,2,1;,0
Poland,POL,0,1; 4;,0
Portugal,PRT,1,N/A,0
Romania,ROU,0,1; 4;,0
Russian Federation,RUS,0,1; 4;,0
Rwanda,RWA,0,Inland,0
"Saint Helena, Ascension and Tristan da Cunha  ",SHN,0,1; 4;,0
Saint Martin,MAF,2,1;,0
Saint Pierre and Miquelon,SPM,0,1; 4;,0
San Marino,SMR,0,Inland,0
Serbia,SRB,0,Inland,0
Slovakia,SVK,0,Inland,0
South Georgia and the South Sandwich Islands,SGS,0,1; 4;,0
South Sudan,SSD,0,Inland,0
Suriname,SUR,1,N/A,0
Svalbard and Jan Mayen,SJM,1,N/A,0
Sweden,SWE,0,1; 4;,0
Switzerland,CHE,0,Inland,0
"Taiwan, Province of China",TWN,2,1;,0
Tajikistan,TJK,0,Inland,0
The Gambia,GMB,1,N/A,0
Timor-Leste,TLS,1,N/A,0
Tokelau,TKL,2,1;,0
Turkmenistan,TKM,0,1; 4;,0
Uganda,UGA,0,Inland,0
Ukraine,UKR,0,1; 4;,0
United Kingdom of Great Britain and Northern Ireland,GBR,0,1; 4;,0
Uruguay,URY,1,N/A,0
Uzbekistan,UZB,0,Inland,0
Venezuela (Bolivarian Republic of),VEN,2,1;,0
Vietnam,VNM,2,1;,0
Zambia,ZMB,0,Inland,0
Zimbabwe,ZWE,0,Inland,0
,,,,
,,,,
,,,,
