"iso3","total_area_1996","total_area_2007","total_area_2008","total_area_2009","total_area_2010_baseline","total_area_2015","total_area_2016","protected_area","percent_protected"
"ABW",0.543387376605274,0.337893746344328,0.337893746344328,0.337893746344328,0.337893746344328,0.337893746344328,0.337893746344328,0.00685633627746192,2.02913973745907
"AGO",385.225868400988,375.436909117138,375.939539769663,374.683953028216,371.467537179199,374.951504468423,374.912657203979,1.70982313285943,0.456059058024591
"AIA",0.0213932091276018,0.0213932091276018,0.0213932091276018,0.0213932091276018,0.00867365803081291,0.00809538383472873,0.00867365803081291,0,0
"ARE",79.5097600721844,77.0121765159982,77.0942759367404,77.2399260160265,77.4760717038827,74.3174238600855,72.6852961650669,11.1285056289939,15.3105321380561
"ASM",0.187447024220235,0.187447024220235,0.187447024220235,0.187447024220235,0.187447024220235,0.187447024220235,0.187447024220235,0,0
"ATG",9.04864879182885,9.04864879182885,9.06431777376372,9.03529852130291,8.85662498735759,8.81601130702422,8.86302409962741,4.01038758684964,45.2485240000446
"AUS",10053.5613695057,9957.97124139723,9970.42236911193,9972.0528389285,9991.08679708914,9765.58733632715,9769.5599031142,4833.0888381031,49.4708961921865
"BEN",1.19463482480402,0.824222065424284,0.902172528680894,0.896129609413931,0.802467875226422,1.69677011477555,1.40189556031116,0,0
"BES",2.14797337356848,1.81970061417216,1.7929415112863,1.77926402858121,1.65795212737856,1.73526075479826,1.66389967132328,1.66383523801584,99.9961275725605
"BGD",4141.08899715838,4137.88718796805,4135.48697331518,4130.80272463416,4142.86727023168,4099.2244475688,4087.12416647542,3752.02959326296,91.8012137737074
"BHR",0.848480245293284,0.729933529622776,0.80622791571712,0.80622791571712,0.827633717426747,0.827084817956957,0.808425644989813,0.372999878751776,46.1390458186759
"BHS",1078.91300568401,1030.58884487991,1030.27354317328,1028.31705657035,988.669217182285,987.720565188676,969.685322283996,629.313506588137,64.8987348912173
"BLZ",538.016741130608,526.517648993516,529.574071133067,527.518749844143,449.200289162936,486.689304184306,482.21251128069,153.459478557711,31.8240350400996
"BRA",11242.2205683054,10979.9678460919,10988.3081191976,10991.0898338153,11000.6250170531,10861.104122756,10889.8320615457,9570.50939009613,87.8848207759932
"BRB",0.136871391586273,0.136871391586273,0.136871391586273,0.136871391586273,0.136871391586273,0.136871391586273,0.136871391586273,0,0
"BRN",115.828040732138,113.02635765456,113.637838595667,113.984382553925,115.251288051473,112.913661691833,113.324339808479,68.8444529273687,60.7499263121385
"CHN",155.400466059328,155.400466059328,152.690428131026,150.677356501597,150.047343828335,156.036418578916,156.68266197722,36.9545436695805,23.5855985616031
"CIV",62.7053114232209,61.3456943227135,61.3233103701447,61.1912844760037,60.8635933150445,60.1733433302442,57.7752258448684,14.0693835510605,24.3519317238811
"CMR",1893.94479206206,1892.33305905594,1892.30199168229,1892.64665820779,1900.65550657098,1886.28727854129,1886.35862569178,1412.96364938368,74.9042960410303
"COD",263.999329347389,255.432948236678,255.841029138803,255.571312264469,255.8741825247,256.744988703638,255.32109189247,251.144121661432,98.3640324424128
"COL",2469.51939058617,2357.46973345318,2373.13296988542,2368.59123968039,2299.58184628932,2292.91490506431,2286.66049790214,1169.84025247995,51.1593327279323
"COM",1.0359017901707,1.0359017901707,1.04006100628631,1.04243769143869,1.04065527457431,1.04065527457431,1.04065527457431,0.95365497773096,91.6398543332291
"CRI",374.762574757826,367.82447415247,367.906453659152,367.70229583117,366.424018522593,364.716491630346,361.864426870735,190.298580473418,52.5883635810922
"CUB",3517.45856972222,3411.31339589687,3406.48468232561,3400.43658028268,3354.49381252264,3354.97946904734,3343.58905592296,1710.99945891474,51.172540354019
"CUW",0.299145351815197,0.142138800354302,0.108238295750281,0.104669776601641,0.0707699291668631,0.0862331948919359,0.0927754328026673,0.0389732883947725,42.0081989567954
"CYM",43.2145959568898,42.1065594097414,42.1106149164733,42.0865214031552,41.6130293314047,41.4120001444077,41.5475024561044,9.25599926326117,22.2781123198447
"DJI",4.967411110782,4.93587776720031,4.93349575726486,4.93349575726486,4.93349575726486,5.00306386425585,4.92219304186442,0,0
"DMA",0.0175817868177459,0.0175817868177459,0.0169957288309575,0.0169957288309575,0.0169957288309575,0.0169957288309575,0.0169957288309575,0.0169957288309575,100
"DOM",197.679307619237,192.697742858744,192.80830698791,192.400839795712,188.218873115799,189.215839584245,188.147111460427,159.683417469359,84.8715753486044
"DPT",0.0545134040291554,0.0545134040291554,0.052834242196814,0.0525110935236564,0.0541902188397399,0.0472248784058885,0.0472248784058885,0.0454154575174234,96.1685006938218
"ECU",1442.70466952777,1385.27312198372,1386.31823464098,1384.37914066095,1384.40567586436,1375.23700966728,1379.93417791965,741.545617525063,53.7377528139055
"EGY",1.05174844594923,0.964284996160818,0.963730934930844,0.963730934930844,0.969253491950875,0.985905295218732,0.983920015849814,0.478465457911383,48.6284911582098
"ERI",71.1390329421901,70.1757824970725,70.4483526421843,70.1765964392032,69.5465074175443,68.927255812535,69.8810274831047,0,0
"FJI",513.847874179196,513.847874179196,514.597432663312,513.856228504886,508.850639035449,508.850639035449,508.850639035449,170.844226086425,33.5745330712895
"FSM",83.2236331990184,83.2236331990184,83.5610666313277,83.5067582811659,83.506758281166,83.5067582811659,83.5067582811659,0,0
"GAB",1772.03285840536,1749.25385782492,1752.40487307742,1754.01000015831,1757.58642451742,1748.84836836933,1746.31123332559,916.042146324019,52.4558354113976
"GHA",228.095763335234,204.770092939363,205.0326435663,204.831237425059,204.2849647433,206.136216753983,204.235079403818,104.902079988689,51.3633996152414
