"Name","Total_Area"
"Baltic Sea",292.577448916409
"Black Sea",133.941865882524
"East Asian Seas",2281.56193715046
"Eastern Africa",81.5805218917104
"Mediterranean",1241.62413749737
"North-East Atlantic",2545.77257186712
"North-East Pacific",1300.88361509565
"North-West Pacific",3192.95443440101
"Pacific",2507.78829782507
"ROPME Area",47.7634805180893
"South-East Pacific",291.747978741135
"West and Central Africa - WACAF",36.0400466459899
"Wider Caribbean",11627.2383724756
