"","ISO3","total_area","protected_area","percent_protected","presence"
"1","ABNJ","6335.72743951258","0","0","2"
"2","ABW","33.086922981754","0","0","2"
"3","AGO","592.857057860186","0","0","2"
"4","AIA","15.0102685292499","1.0747075355794","7.1598155188574","2"
"5","ALA","0.0000124106493716223","0","0","2"
"6","ALB","44.0192816483413","2.93708153556099","6.67226139450565","2"
"7","ARE","1021.68240229299","441.895138006581","43.2517127646346","2"
"8","ASM","461.078724953926","17.5012300588758","3.79571407477642","2"
"9","ATF","0.00000310267769422565","0","0","2"
"10","ATG","249.635488122907","53.2690301307572","21.3387249270146","2"
"11","AUS","41008.9779166146","16265.002779433","39.6620535447271","2"
"12","AZE","0.0000620531952133495","0","0","2"
"13","BEN","1342.7616814721","0","0","2"
"14","BES","4.5123039894294","4.50516861977465","99.8418685959222","2"
"15","BGD","0.00000310266441194763","0","0","2"
"16","BHR","535.748558798727","0","0","2"
"17","BHS","2256.9561788181","69.8262751128324","3.09382502718322","2"
"18","BLM","16.8932512432228","16.3988763989473","97.0735364249446","2"
"19","BLZ","4901.11585178532","2131.09709250445","43.4818754942951","2"
"20","BMU","0.0000124108604061004","0","0","2"
"21","BRA","426.481911738778","0.980516292365416","0.229908060664947","2"
"22","BRB","89.6293604461783","0","0","2"
"23","CAN","301.909141054607","70.0127911997483","23.1900203336622","2"
"24","CCK","215.180925785894","0","0","2"
"25","CHL","0.00000310266053187421","0","0","2"
"26","CHN","8029.67976685395","0.316748537645074","0.0039447219172126","2"
"27","COL","430.801143928378","189.241337525522","43.9277704325186","2"
"28","COM","1265.15003764605","56.6372521354687","4.47672216339246","2"
"29","CRI","0.000018616073470288","0.0000155133985561554","83.3333548071527","2"
"30","CUB","13906.0575742611","6029.74849048654","43.3605891410021","2"
"31","CUW","0.0000403345196719117","0.00000930796225040554","23.0769135869677","2"
"32","CXR","158.467423183808","11.3010272244458","7.13145137176719","2"
"33","CYM","44.9845224406935","3.05191469356327","6.78436610633544","2"
"34","CYP","69.8779803955572","45.5414952095501","65.1728841499913","2"
"35","DEU","317.308584883037","317.159627620561","99.9530560250898","2"
"36","DMA","513.932058426165","6.60972052279404","1.28610784527341","2"
"37","DNK","1182.11135711848","624.757164168963","52.8509569260777","2"
"38","DOM","346.692193069346","86.0475941506622","24.8195938272688","2"
"39","DPT","7190.43210348676","3232.48119919199","44.955312179702","2"
"40","DZA","40.4832019843335","0.0246895200738721","0.0609870733135849","2"
"41","EGY","2438.73178917872","470.022334876497","19.2732278704082","2"
"42","ERI","16.3334579223989","0","0","2"
"43","ESH","0.00000310260420641431","0","0","2"
"44","ESP","3100.36182367319","2051.52301679567","66.1704385962638","2"
"45","EST","0.0000310266028657269","0.0000248213312549092","80.000157807569","2"
"46","FIN","0.000179954461033304","0.0000465401442519139","25.8621786782495","2"
"47","FJI","1736.29059961786","288.132036190813","16.5946896362987","2"
"48","FRA","1094.50654842483","1057.25695409672","96.596676887706","2"
"49","FSM","1584.22135036628","0","0","2"
"50","GBR","149.274984250854","122.842503626778","82.2927593951999","2"
"51","GGY","0.000012410597255493","0","0","2"
"52","GHA","2713.71099027373","0","0","2"
"53","GIN","12809.5967374729","533.248943312363","4.16288626598533","2"
"54","GLP","758.386403795894","742.848749920457","97.9512219895204","2"
"55","GNB","15318.2986187856","2341.01647274685","15.2824835904161","2"
"56","GRC","626.43256980222","570.902991350091","91.1355856753009","2"
"57","GRD","9.9175033947353","0.69375517799722","6.9952603027643","2"
"58","GRL","0.00000930797129828644","0","0","2"
"59","GTM","0.183243540221459","0.130607526898978","71.2753785160082","2"
"60","GUM","473.274787649748","39.4829588842905","8.34250205474926","2"
"61","HKG","45.3679687557244","5.72778731650241","12.625179115562","2"
"62","HND","2739.15446725393","731.868551505495","26.7187761864051","2"
"63","HRV","299.617704872247","171.771694265114","57.330288388116","2"
"64","HTI","748.630282120462","10.8896273286377","1.45460684515637","2"
"65","IDN","17597.0831463419","3548.05553403822","20.1627480221106","2"
"66","IMN","0.000065154858614612","0.000065154858614612","100","2"
"67","IND","4229.40928328594","0.00102408768024271","0.0000242134920422521","2"
"68","IRL","3.65161555032424","3.64957672952182","99.944166608606","2"
"69","IRN","2704.38380957145","290.700718390694","10.7492404503324","2"
"70","IRQ","74.8788273838901","0","0","2"
"71","ISL","0.0000899774390557103","0.0000372320956844125","41.3793680673218","2"
"72","ISR","17.3956693790278","1.93963485364609","11.150101852272","2"
"73","ITA","3724.98560816091","1842.90049749434","49.474030005829","2"
"74","JAM","791.696202342602","132.762568248298","16.7693829849705","2"
"75","JEY","0.0000403343028342647","0.0000403343028342647","100","2"
"76","JOR","1.37053976968828","0","0","2"
"77","JPN","473.732775567186","405.092717366994","85.5108065685319","2"
"78","KAZ","0.0000744645401148926","0.0000310267274066077","41.6664460140841","2"
"79","KEN","116.061684166683","72.6126468133214","62.563840370469","2"
"80","KHM","0.000018615799717274","0.00000620524187402819","33.3332006589554","2"
"81","KIR","496.23419083674","0","0","2"
"82","KNA","60.0867909656262","52.0710341418505","86.6597022490995","2"
"83","KOR","0.000319573859459994","0.0000930800055146868","29.1262888873234","2"
"84","KWT","1584.36892441357","192.309088388201","12.1378982776616","2"
"85","LBN","0.00000930798099701388","0","0","2"
"86","LBY","11.5167847063231","0","0","2"
"87","LCA","6.61364546350088","4.27094963592619","64.5778437851943","2"
"88","LKA","2867.85284295957","4.04768272879596","0.141139833542464","2"
"89","LTU","0.00000620528125591186","0.00000310263537378552","49.9999153274413","2"
"90","MAF","48.6259551574376","47.0290514467941","96.715943768152","2"
