country,iso3,species,species_id,source_id
Bangladesh,BGD,Aegialitis rotundifolia,7,1
Bangladesh,BGD,Aegiceras corniculatum,8,1
Bangladesh,BGD,Avicennia alba,11,1
Bangladesh,BGD,Avicennia marina,13,1
Bangladesh,BGD,Avicennia officinalis,14,1
Bangladesh,BGD,Bruguiera gymnorrhiza,18,1
Bangladesh,BGD,Bruguiera sexangula,21,1
Bangladesh,BGD,Ceriops decandra,26,1
Bangladesh,BGD,Ceriops tagal,27,1
Bangladesh,BGD,Excoecaria agallocha,31,1
Bangladesh,BGD,Excoecaria indica,32,1
Bangladesh,BGD,Heritiera fomes,33,1
Bangladesh,BGD,Kandelia candel,36,1
Bangladesh,BGD,Nypa fruticans,41,1
Bangladesh,BGD,Rhizophora apiculata,44,1
Bangladesh,BGD,Rhizophora mucronata,45,1
Bangladesh,BGD,Sonneratia apetala,53,1
Bangladesh,BGD,Sonneratia caseolaris,54,1
Bangladesh,BGD,Xylocarpus granatum,61,1
Bangladesh,BGD,Xylocarpus moluccensis,62,1
Bahrain,BHR,Avicennia marina,13,1
Bahamas,BHS,Conocarpus erectus,66,1
Bahamas,BHS,Laguncularia racemosa,67,1
Bahamas,BHS,Rhizophora mangle,70,1
Saint Barthélemy,BLM,Acrostichum aureum,3,1
Saint Barthélemy,BLM,Avicennia germinans,64,1
Saint Barthélemy,BLM,Avicennia schaueriana,65,1
Saint Barthélemy,BLM,Conocarpus erectus,66,1
Saint Barthélemy,BLM,Laguncularia racemosa,67,1
Saint Barthélemy,BLM,Rhizophora mangle,70,1
Belize,BLZ,Acrostichum aureum,3,1
Belize,BLZ,Avicennia germinans,64,1
Belize,BLZ,Conocarpus erectus,66,1
Belize,BLZ,Laguncularia racemosa,67,1
Belize,BLZ,Rhizophora mangle,70,1
Bermuda,BMU,Avicennia germinans,64,1
Bermuda,BMU,Conocarpus erectus,66,1
Bermuda,BMU,Rhizophora mangle,70,1
Brazil,BRA,Acrostichum aureum,3,1
Brazil,BRA,Avicennia germinans,64,1
Brazil,BRA,Avicennia schaueriana,65,1
Brazil,BRA,Conocarpus erectus,66,1
Brazil,BRA,Laguncularia racemosa,67,1
Brazil,BRA,Rhizophora mangle,70,1
Brazil,BRA,Rhizophora racemosa,71,1
Brazil,BRA,Rhizophora harrisonii,72,1
Barbados,BRB,Laguncularia racemosa,67,1
Barbados,BRB,Rhizophora mangle,70,1
Brunei Darussalam,BRN,Avicennia marina,13,1
Brunei Darussalam,BRN,Excoecaria agallocha,31,1
Brunei Darussalam,BRN,Heritiera littoralis,35,1
Brunei Darussalam,BRN,Nypa fruticans,41,1
Brunei Darussalam,BRN,Rhizophora apiculata,44,1
Brunei Darussalam,BRN,Rhizophora mucronata,45,1
Brunei Darussalam,BRN,Rhizophora stylosa,47,1
Brunei Darussalam,BRN,Sonneratia alba,52,1
Brunei Darussalam,BRN,Xylocarpus granatum,61,1
China,CHN,Acanthus ebracteatus,1,1
China,CHN,Acanthus ilicifolius,2,1
China,CHN,Acrostichum aureum,3,1
China,CHN,Acrostichum speciosum,5,1
China,CHN,Aegiceras corniculatum,8,1
China,CHN,Avicennia marina,13,1
China,CHN,Bruguiera cylindrica,16,1
China,CHN,Bruguiera gymnorrhiza,18,1
China,CHN,Bruguiera parviflora,20,1
China,CHN,Bruguiera sexangula,21,1
China,CHN,Ceriops tagal,27,1
China,CHN,Excoecaria agallocha,31,1
China,CHN,Heritiera littoralis,35,1
China,CHN,Kandelia obovata,37,1
China,CHN,Lumnitzera littorea,38,1
China,CHN,Lumnitzera racemosa,39,1
China,CHN,Nypa fruticans,41,1
China,CHN,Pemphis acidula,43,1
China,CHN,Rhizophora apiculata,44,1
China,CHN,Rhizophora mucronata,45,1
China,CHN,Rhizophora stylosa,47,1
China,CHN,Scyphiphora hydrophyllacea,51,1
China,CHN,Sonneratia alba,52,1
China,CHN,Sonneratia caseolaris,54,1
China,CHN,Sonneratia ovata,57,1
China,CHN,Xylocarpus granatum,61,1
Côte D'Ivoire,CIV,Acrostichum aureum,3,1
Côte D'Ivoire,CIV,Avicennia germinans,64,1
Côte D'Ivoire,CIV,Conocarpus erectus,66,1
Côte D'Ivoire,CIV,Laguncularia racemosa,67,1
Côte D'Ivoire,CIV,Rhizophora racemosa,71,1
Cameroon,CMR,Acrostichum aureum,3,1
Cameroon,CMR,Avicennia germinans,64,1
Cameroon,CMR,Conocarpus erectus,66,1
Cameroon,CMR,Laguncularia racemosa,67,1
Cameroon,CMR,Rhizophora mangle,70,1
Cameroon,CMR,Rhizophora racemosa,71,1
Cameroon,CMR,Rhizophora harrisonii,72,1
Democratic Republic of the Congo,COD,Acrostichum aureum,3,1
Democratic Republic of the Congo,COD,Avicennia germinans,64,1
Democratic Republic of the Congo,COD,Conocarpus erectus,66,1
Democratic Republic of the Congo,COD,Laguncularia racemosa,67,1
Democratic Republic of the Congo,COD,Rhizophora mangle,70,1
Democratic Republic of the Congo,COD,Rhizophora racemosa,71,1
Congo,COG,Acrostichum aureum,3,1
Congo,COG,Avicennia germinans,64,1
Congo,COG,Conocarpus erectus,66,1
Congo,COG,Laguncularia racemosa,67,1
Congo,COG,Rhizophora mangle,70,1
Congo,COG,Rhizophora racemosa,71,1
Congo,COG,Rhizophora harrisonii,72,1
Colombia,COL,Acrostichum aureum,3,1
Colombia,COL,Avicennia bicolor,63,1
Colombia,COL,Avicennia germinans,64,1
Colombia,COL,Conocarpus erectus,66,1
Colombia,COL,Laguncularia racemosa,67,1
Colombia,COL,More oleifera,68,1
Colombia,COL,Pelliciera rhizophoreae,69,1
Colombia,COL,Rhizophora mangle,70,1
Colombia,COL,Rhizophora racemosa,71,1
Colombia,COL,Rhizophora harrisonii,72,1
Colombia,COL,Tabebuia palustris,73,1
Comoros,COM,Avicennia marina,13,1
Comoros,COM,Bruguiera gymnorrhiza,18,1
Comoros,COM,Ceriops tagal,27,1
Comoros,COM,Heritiera littoralis,35,1
Comoros,COM,Rhizophora mucronata,45,1
Comoros,COM,Sonneratia alba,52,1
Comoros,COM,Xylocarpus granatum,61,1
Costa Rica,CRI,Acrostichum aureum,3,1
Costa Rica,CRI,Avicennia bicolor,63,1
Costa Rica,CRI,Avicennia germinans,64,1
Costa Rica,CRI,Conocarpus erectus,66,1
Costa Rica,CRI,Laguncularia racemosa,67,1
Costa Rica,CRI,Pelliciera rhizophoreae,69,1
Costa Rica,CRI,Rhizophora mangle,70,1
Costa Rica,CRI,Rhizophora racemosa,71,1
Costa Rica,CRI,Rhizophora harrisonii,72,1
Costa Rica,CRI,Tabebuia palustris,73,1
Cuba,CUB,Acrostichum aureum,3,1
Cuba,CUB,Avicennia germinans,64,1
Cuba,CUB,Conocarpus erectus,66,1
Cuba,CUB,Laguncularia racemosa,67,1
Cuba,CUB,Rhizophora mangle,70,1
Curaçao,CUW,Acrostichum aureum,3,1
Curaçao,CUW,Avicennia germinans,64,1
Curaçao,CUW,Avicennia schaueriana,65,1
Curaçao,CUW,Conocarpus erectus,66,1
Curaçao,CUW,Laguncularia racemosa,67,1
Curaçao,CUW,Rhizophora mangle,70,1
Christmas Island,CXR,Bruguiera gymnorrhiza,18,1
Christmas Island,CXR,Bruguiera sexangula,21,1
Cayman Islands,CYM,Avicennia germinans,64,1
Cayman Islands,CYM,Conocarpus erectus,66,1
Cayman Islands,CYM,Laguncularia racemosa,67,1
Cayman Islands,CYM,Rhizophora mangle,70,1
Djibouti,DJI,Avicennia marina,13,1
Djibouti,DJI,Rhizophora mucronata,45,1
Dominica,DMA,Acrostichum aureum,3,1
Dominica,DMA,Avicennia germinans,64,1
