country,iso3,species,species_id,source_id
Maldives,MDV,Rhizophora mucronata,45,1
Maldives,MDV,Sonneratia caseolaris,54,1
Mexico,MEX,Avicennia germinans,64,1
Mexico,MEX,Conocarpus erectus,66,1
Mexico,MEX,Laguncularia racemosa,67,1
Mexico,MEX,Rhizophora mangle,70,1
Mexico,MEX,Rhizophora harrisonii,72,1
Marshall Islands,MHL,Bruguiera gymnorrhiza,18,1
Marshall Islands,MHL,Lumnitzera littorea,38,1
Marshall Islands,MHL,Pemphis acidula,43,1
Marshall Islands,MHL,Sonneratia alba,52,1
Marshall Islands,MHL,Xylocarpus granatum,61,1
Myanmar,MMR,Acanthus ilicifolius,2,1
Myanmar,MMR,Acrostichum aureum,3,1
Myanmar,MMR,Aegialitis rotundifolia,7,1
