iso3,total_area,total_area_2020,percent_protected
ABW,0.432942248693046,0.008044091612944552,1.8580056894950383
AGO,280.82389005006104,12.709946067641622,4.52594900860318
AIA,0.035271933674275606,0.0,0.0
ARE,73.87329276007213,13.225002488391993,17.902278339405484
ASM,0.31891916056343067,0.22077416999112004,69.22574661274066
ATF,6.723017401501384,6.723017401501384,100.0
ATG,8.691842583278957,4.101992880629296,47.19359377861441
AUS,10035.715156456414,5037.395511116552,50.19468401188904
BEN,28.655277310530202,0.0,0.0
BES,2.551146154266029,1.831839006825483,71.8045496437858
BGD,4480.333822437291,4053.5925273350763,90.47523439068055
BHR,0.5836400346166449,1.2485914155263902e-05,0.0021393176298238493
BHS,1497.9220973305908,967.1889785643916,64.56871023453054
BLZ,519.3445287744713,75.87518381123756,14.609797467258357
BMU,0.2094119920759151,0.13273592584343077,63.385064306781416
BRA,11375.583934846989,9858.143109985458,86.66054566031434
BRB,0.10843029330043787,0.0,0.0
BRN,109.7172350380406,66.65234449323142,60.749201773196404
CHN,202.79288675579002,9.6901420008497,4.778344130245009
CIV,53.49629695664328,3.7656521024944993,7.039089276677259
CMR,1973.4681609585643,1491.1161486939493,75.55815584932851
COD,236.38696778031286,233.4077630863126,98.73969164968138
COG,20.359818101091456,16.486180340603852,80.97410428102035
COK,0.032715352557330254,0.0,0.0
COL,2784.0963185837804,2152.4218949633446,77.31133009285551
COM,0.9699379362150602,0.8859173828370742,91.33753302754039
CRI,368.21181941283015,197.7734168621956,53.71185997711194
CUB,3510.1469670393058,1817.7690184169169,51.7861227887602
CUW,0.44414903746475165,0.0317495392676611,7.148397629969152
CYM,44.315331061101894,9.368237289279042,21.13994652632096
DJI,7.091241485234591,0.0,0.0
DMA,0.014651489674664528,0.014651489674664528,100.0
DOM,190.58009171821854,154.64790657194587,81.14588736823568
ECU,1516.203923305327,829.5280952764588,54.710852710899616
EGY,2.0322797698982984,0.8239761414346319,40.544424721398784
ERI,73.41374093421977,0.0,0.0
FJI,488.3749427468384,177.39105284386082,36.322717919583354
FSM,87.10555425804375,0.0,0.0
GAB,1742.605909366753,916.811213568464,52.61150605770785
GHA,178.0888234792491,83.91425772189771,47.11932848030489
GIN,2186.706138499346,572.6154207964306,26.1862081381175
GLP,34.19299683040657,32.74916496577486,95.7774047364349
GMB,615.0180637520757,269.8959971512471,43.8842390261966
GNB,2673.4151553465986,981.5298026007401,36.714454941192564
GNQ,255.93032122809362,203.34631093428686,79.453778652924
GRD,1.9255279627223991,0.6276141171749691,32.594391217649196
GTM,249.13198515732265,115.36030492719377,46.30489531657113
GUF,635.6703055399462,440.68136955268636,69.32546096806679
GUM,0.5224854795031121,0.38895241361628324,74.44272211855153
GUY,281.66444458857836,143.214641522188,50.845835984509435
HKG,3.6964377333200553,1.837985606220991,49.723158857870295
HND,599.9689375899186,384.8912078796512,64.15185583203076
HTI,150.0276416096659,66.31495413316395,44.201824025001166
IDN,29012.42203984737,4881.640534932555,16.82603585535817
IND,4007.4874801016317,765.692818070243,19.10655546329554
IRN,102.63788735729523,99.16197856488571,96.6134252351576
JAM,97.66933835264003,73.53139381216847,75.2860570701111
JPN,10.287191439470135,9.802216261903697,95.28564059082565
KEN,542.3728369529041,95.51710601509326,17.610967863309
KHM,621.0693525696922,404.96987631575143,65.20525842084737
KIR,1.4648264751422027,0.039464700783940224,2.6941553456090466
KNA,0.3468711300230643,0.0,0.0
LBR,182.13531625615468,20.9588496601047,11.507295834174315
LCA,1.6215340375482687,1.03708419838946,63.956979895254825
LKA,181.1910635111823,9.373186314806354,5.173095258215029
MAF,0.009835895629159498,0.009835895629159498,100.0
MDG,2758.3333462179758,503.09343320783466,18.23903676825861
MDV,0.9734288363843151,0.15481039104768826,15.903616706354512
MEX,9921.271042546834,7495.076972579006,75.54553182184797
MHL,0.325446431205282,0.2625680149884835,80.67933454242223
MMR,5321.9362231071855,148.24824200606398,2.7856072638072686
MOZ,2978.6804193245566,1488.6225283815688,49.97590606645636
MRT,3.4520813898976477,2.7268295455603866,78.99088224108284
MTQ,19.44110029709968,19.13306105790655,98.41552569306437
MUS,3.9624570087871387,1.3584311111266578,34.282545100532396
MYS,5227.52509253837,165.28781464540788,3.1618751076170883
MYT,5.970396442260065,5.671575309566522,94.9949532567317
NCL,334.80821686372735,78.67997337665534,23.50001266805212
NGA,8389.84446386962,457.19105078977304,5.449338813831887
NIC,743.6981133696879,587.6870436824031,79.022258241264
NZL,296.7592291062533,22.392564649153062,7.54570117889594
OMN,1.3538474748434908,0.5827454061882064,43.04365277599484
PAK,777.4061713943744,280.1545841336166,36.03709289201096
PAN,1528.2358023677118,635.157537008321,41.5614878295787
PER,54.16813330237412,18.21763390540122,33.63164428005638
PHL,2820.2594781740017,1094.7207893731322,38.81631452159563
PLW,56.921944651497654,44.80698323667824,78.71653632181264
PNG,4494.135124593987,209.6680446237041,4.665370283957497
PRI,81.99585928740176,40.583891039042975,49.495049374131604
PYF,1.258717794009891,0.0,0.0
QAT,4.595108955461787,4.091601172977524,89.04252788422374
SAU,69.38563737453448,18.376891720064954,26.485152281399284
SDN,6.941476431087637,0.6761957224016323,9.741381809974413
SEN,1263.7962364942366,742.2006034756482,58.72786941781916
SGP,6.970152654476758,0.44025038184802995,6.31622295338493
SLB,525.6500557037909,51.31203778347585,9.761634613502391
SLE,1507.9984821049252,613.3171283082538,40.670938040478724
SLV,370.12215014569995,282.1553109109093,76.23302490808447
SOM,34.63708271811054,0.0,0.0
STP,0.4838520634529774,0.3884195105399768,80.27650182331504
