iso3,total_area_2020,protected_area,percent_protected
ABW,0.432942248693046,0.008044091612944552,1.8580056894950383
AGO,280.82389005006104,12.710786606473517,4.526248320329026
AIA,0.035271933674275606,0.0,0.0
ARE,73.87329276007213,13.225002488391993,17.902278339405484
ASM,0.31891916056343067,0.22077416999112004,69.22574661274066
ATF,6.723017401501384,6.723017401501384,100.0
ATG,8.691842583278957,4.101992880629296,47.19359377861441
AUS,10035.715156456414,5037.395505672992,50.19468395764716
BEN,28.655277310530202,0.16331498917212714,0.5699298855227354
BES,2.551146154266029,1.831839006825483,71.8045496437858
BGD,4480.333822437291,4053.592527335076,90.47523439068054
BHR,0.5836400346166449,0.20827082329314184,35.68480757663263
BHS,1497.9220973305908,968.8082277150734,64.67680992499957
BLZ,519.3445287744713,157.1949898908517,30.2679591641784
BMU,0.2094119920759151,0.13273592584343077,63.385064306781416
BRA,11375.583934846989,9908.903234946722,87.10676561044605
BRB,0.10843029330043787,0.0,0.0
BRN,109.7172350380406,66.65234449323144,60.74920177319642
CHN,202.79288675579002,20.708998013487026,10.211895665958686
CIV,53.49629695664328,13.14636855785178,24.574352442574508
CMR,1973.4681609585643,1491.1161486939493,75.55815584932851
COD,236.38696778031286,233.4077630863126,98.73969164968138
COG,20.359818101091456,16.486180340603852,80.97410428102035
COK,0.032715352557330254,0.0,0.0
COL,2784.0963185837804,2152.421894960468,77.31133009275219
COM,0.9699379362150602,0.8859173828370742,91.33753302754039
CRI,368.21181941283015,197.7734168621956,53.71185997711194
CUB,3510.1469670393058,1817.7690184169169,51.7861227887602
CUW,0.44414903746475165,0.0317495392676611,7.148397629969152
CYM,44.31533106110189,9.368237289279042,21.13994652632096
DJI,7.091241485234591,0.6890097852336817,9.71634919877345
DMA,0.014651489674664528,0.014651489674664528,100.0
DOM,190.58009171821854,160.7925348148498,84.37005847000482
ECU,1516.2039233053267,829.5280952764588,54.71085271089963
EGY,2.0322797698982984,0.8239761414346319,40.544424721398784
ERI,73.41374093421977,0.0,0.0
FJI,488.3749427468384,179.69744007746732,36.79497540696269
FSM,87.10555425804375,0.0,0.0
GAB,1742.6059093667532,920.0112899938033,52.79514347154526
GHA,178.0888234792491,87.8429577836546,49.325362517143056
GIN,2186.706138499346,572.6154207964306,26.1862081381175
GLP,34.19299683040657,32.749164969333044,95.77740474684109
GMB,615.0180637520757,270.1554521384806,43.92642558989696
GNB,2673.4151553465986,1110.5051017544702,41.53881972029508
GNQ,255.93032122809362,203.34631093428686,79.453778652924
GRD,1.9255279627223991,0.6276141171749691,32.594391217649196
GTM,249.13198515732265,115.36030492719377,46.30489531657113
GUF,635.6703055399462,440.68136955268636,69.32546096806679
GUM,0.5224854795031121,0.38895241361628324,74.44272211855153
GUY,281.66444458857836,143.214641522188,50.845835984509435
HKG,3.6964377333200553,3.6075103253322376,97.59424033614262
HND,599.9689375899186,415.41260412137586,69.23901857154348
HTI,150.0276416096659,66.31495413316395,44.201824025001166
IDN,29012.42203984737,7401.673481494381,25.51208400087551
IND,4007.4874801016317,865.8956248750684,21.60694522876236
IRN,102.63788735729523,102.54336332956011,99.90790532602637
JAM,97.66933835264003,73.53139381216847,75.2860570701111
JPN,10.287191439470135,9.802216261893285,95.28564059072444
KEN,542.3728369529041,109.6715467437978,20.2206930863171
KHM,621.0693525696922,404.96987631575143,65.20525842084737
KIR,1.4648264751422027,0.14944884518456694,10.202494815644203
KNA,0.3468711300230643,0.02179486234540436,6.283273659573561
LBR,182.13531625615468,54.66166100901114,30.011566198471424
LCA,1.6215340375482687,1.03708419838946,63.956979895254825
LKA,181.1910635111823,55.080816429238745,30.399300805384037
MAF,0.009835895629159498,0.009835895629159498,100.0
MDG,2758.3333462179758,1024.6580780030395,37.147724708762105
MDV,0.9734288363843151,0.15481039104768826,15.903616706354512
MEX,9921.271042546834,7503.174020543965,75.62714483221967
MHL,0.325446431205282,0.2625680149884835,80.67933454242223
MMR,5321.9362231071855,148.24824200606398,2.7856072638072686
MOZ,2978.6804193245566,1626.323844643809,54.59880268097351
MRT,3.4520813898976477,2.7268295455603866,78.99088224108284
MTQ,19.44110029709968,19.13306105972482,98.41552570241709
MUS,3.9624570087871387,1.801040978870414,45.452631407140274
MYS,5227.52509253837,899.235343934446,17.201932616602654
MYT,5.970396442260065,5.671575309566522,94.9949532567317
NCL,334.80821686372735,171.1663128307692,51.12368938676221
NGA,8389.84446386962,467.21305642911534,5.568792823766177
NIC,743.6981133696879,587.6870436824031,79.022258241264
NZL,296.7592291062533,29.163469371659524,9.82731673063407
OMN,1.3538474748434908,0.5827454061882064,43.04365277599484
PAK,777.4061713943744,423.394052995451,54.462399267559356
PAN,1528.2358023677118,635.157537008321,41.5614878295787
PER,54.16813330237412,18.21763390540122,33.63164428005638
PHL,2820.2594781740017,1096.9721656865752,38.89614321575893
PLW,56.921944651497654,46.61334916276243,81.88994499072513
PNG,4494.135124593987,209.6680446237041,4.665370283957497
PRI,81.99585928740176,40.583891039042975,49.495049374131604
PYF,1.258717794009891,0.10562680155811906,8.391618999968554
QAT,4.595108955461787,4.091601172977524,89.04252788422374
SAU,69.38563737453448,18.376891720064954,26.485152281399284
SDN,6.941476431087637,1.2172687583717094,17.536164970900572
SEN,1263.7962364942366,742.2006034756482,58.72786941781916
SGP,6.970152654476758,0.44025038184802995,6.31622295338493
SLB,525.6500557037909,54.94028400809801,10.451874476554304
SLE,1507.9984821049254,613.3171283082538,40.670938040478724
SLV,370.12215014569995,283.2080165050461,76.51744603600736
SOM,34.63708271811054,0.0,0.0
