"iso_ter","total_area_2016","protected_area","percent_protected"
"ABW",0.337893769827033,0.00685633593436759,2.02913949490023
"AGO",374.912657045239,1.68759753968406,0.450130852605604
"AIA",0.00867365899617037,0,0
"ARE",72.6323292602828,11.2192121209939,15.446581756712
"ASM",0.187447015030157,0,0
"ATG",8.86302416134686,4.53810395760362,51.2026580881395
"AUS",9781.88028304306,4802.07596288862,49.0915429747494
"BEN",1.40189554889003,0,0
"BES",1.66389964417757,1.66386676809687,99.9980241548332
"BGD",4087.12416951906,3752.02959574475,91.801213766066
"BHR",0.808425681791958,0.0000125028931051369,0.00154657297346405
"BHS",969.685321945961,629.313506306957,64.8987348848442
"BLZ",482.212511262747,157.684986012801,32.7003099940064
"BRA",10889.8320636553,9402.3705993705,86.3408227455665
"BRB",0.136871415779438,0,0
"BRN",113.324340580626,66.7180978889676,58.8735813922517
"CHN",154.711074653657,10.3484995025761,6.68891966896534
"CIV",57.7752263873211,4.35936208979259,7.5453829649541
"CMR",1886.35864892368,1412.96361777016,74.9042934426267
"COD",255.321092049895,251.144121772571,98.3640324252931
"COL",2286.66049426079,1067.076477774,46.6652780529608
"COM",1.04065525060988,0.953654961566152,91.639854890201
"CRI",361.864426855028,178.553419488889,49.3426284094021
"CUB",3343.58905781116,1712.0240111793,51.2031826153916
"CUW",0.0927754125616472,0.03897327458612,42.0081932378616
"CYM",41.5475025626803,9.25599929652207,22.2781123427529
"DJI",4.9221930213001,0,0
"DMA",0.0169957272156196,0.0169957272156196,100
"DOM",188.147111527773,153.506080232963,81.5883268079317
"DPT",1.23342702795382,0.858934000488808,69.6380070342492
"ECU",1379.93417855303,674.012322596956,48.8438023401746
"EGY",0.983920030073875,0.478465445645617,48.6284892085887
"ERI",69.8810278047023,0,0
"FJI",508.850640351845,168.148449693567,33.0447554467654
"FSM",83.5067583366215,0,0
"GAB",1746.31123227894,916.042145590167,52.4558354008139
"GHA",204.235078963438,101.060264489662,49.4823244873395
"GIN",2209.43003995291,562.816026505302,25.4733581207802
"GLP",37.0583347124867,35.8941235442057,96.858436361716
"GMB",597.963203243546,266.382815484905,44.5483625146093
"GNB",2587.30349761381,965.481448838035,37.3161266054975
"GNQ",256.59030490496,204.002873442966,79.5052928903638
"GRD",1.13842574629655,0.335079473957372,29.4335818605148
"GTM",239.540960102206,111.332886710398,46.4775989304272
"GUF",500.674797090793,355.748764956017,71.0538591163607
"GUY",282.60847245255,146.454327517662,51.8223414346688
"HKG",1.96470556509111,1.13610749340541,57.8258398404205
"HND",590.176900328398,390.910678298245,66.2361875025482
"HTI",146.987185557978,67.5439212298656,45.952251533671
"IDN",26504.9067708737,6475.92589218484,24.4329321667385
"IND",3488.69339904678,716.798591862396,20.5463338239539
"IRN",77.9639793037399,76.6106547156143,98.2641668624261
"JAM",95.3388276176158,54.0582802601013,56.7012219585055
"JPN",9.81601723532788,9.6208643655699,98.0118935706875
"KEN",529.166695235685,84.8905457006611,16.0423069828406
"KHM",585.753360326428,393.880633419294,67.243427028706
"KNA",0.288188935547014,0.0011635686761729,0.40375202953726
"LBR",189.218822516554,21.8564777258492,11.5509003994236
"LCA",1.65699083821273,1.08017088061554,65.1887056768905
"LKA",197.173612452624,9.4242054402154,4.77964841389707
"MAF",0.156224122763322,0.153465992393209,98.2345041717459
"MDG",2585.11646254292,465.230651835273,17.9965064853456
"MEX",9661.06565866576,7276.02700464214,75.3128822607236
"MMR",4953.04629094406,150.536114410037,3.03926322443767
"MOZ",2985.52070148794,1639.50463498831,54.9151990194275
"MRT",0.833671509111607,0.404355918626622,48.5030271764378
"MTQ",16.9270319334204,16.7674101321052,99.0570006487668
"MUS",7.11337394246802,0.644937754415433,9.06655209794395
"MYS",5092.22754600715,728.607438729902,14.3082262555452
"MYT",5.84028681307456,5.61736028461707,96.1829523858584
"NCL",294.69534932015,91.703653294858,31.1181202914856
"NGA",6881.38508432159,370.398471199442,5.38261507909723
"NIC",731.399359831335,576.373709926278,78.804240416507
"NZL",310.312771006744,23.4913057648997,7.57020269861508
"OMN",1.14993793746886,0.536672927288989,46.6697297134369
"PAK",641.482281647333,230.745527040935,35.9706781687528
"PAN",1520.75185668653,629.509739908655,41.3946389176375
"PER",40.2003447049125,15.889111996273,39.5248153042113
"PHL",2674.55476877824,2021.06110356148,75.5662634826028
"PLW",61.4039182818926,50.8194177501514,82.7624998079927
"PNG",4668.85744609561,209.547877942491,4.48820467023957
"PRI",88.0497344447596,44.445912184114,50.4781899279871
"QAT",4.42535412368615,3.98236548151412,89.989758338186
"SAU",64.9128211255508,7.50169042087165,11.5565620023852
"SDN",3.70890663886185,0.116712856865263,3.14682649712313
"SEN",1246.32774142036,728.084108225575,58.4183504890797
"SGP",5.18777607976631,0.470087676364917,9.06144885856547
"SLB",527.672506215791,54.7169843976715,10.3694969423506
"SLE",1264.32655624945,560.196155385083,44.307869087783
"SLV",375.289221901237,288.175550541099,76.7875904032589
"SOM",21.1614854300656,0,0
"STP",0.00668625157058002,0,0
"SUR",763.19035505868,528.724117666259,69.278144588922
"SYC",1.11487858265853,0.401947285322408,36.0530098590582
"TCA",117.838463837769,92.1759671203486,78.2223088441223
"THA",2246.97268015352,154.730421125088,6.88617278223946
"TLS",9.81902953810036,5.51689352338759,56.1857310030551
"TON",8.65103563169179,1.88227443068215,21.7577930645287
"TTO",52.7671959720383,17.6015448417371,33.356983477129
"TWN",1.69335771588026,1.29661491934906,76.5706446540764
"TZA",1114.34177236526,938.721424548354,84.2399924177537
"USA",1879.20925713515,1692.52457021562,90.0657850523717
