iso3,total_area,protected_area,percent_protected
ABNJ,1873.7220523005842,871.2278659554897,46.497177363407936
ABW,3.548936313530854,0.0,0.0
AGO,3.395770538207577,0.0,0.0
AIA,3.383759205623455,0.0,0.0
ALB,5.986691681081446,0.0,0.0
ARG,61.82852730559187,6.984473589185753,11.296522646681359
ASM,0.9984762212052267,0.0,0.0
ATA,18.9351052324314,5.6377281372954995,29.773946688394375
ATF,14.319754931261908,14.319754931261908,100.0
ATG,0.9977819550225203,0.0,0.0
AUS,333.4395109866984,152.80538883134898,45.827019233315966
BEN,0.9977819136812389,0.0,0.0
BES,9.611173575021905,9.611173575021905,100.0
BHS,412.77589311788455,32.61330384927764,7.9009710579109855
BLM,0.9977819275411758,0.9977819275411758,100.0
BLZ,2.993345795609901,1.9955638632690427,66.6666666509354
BMU,26.39903293953908,0.0,0.0
BRA,233.17334609163908,1.995563858061781,0.8558284604611317
BRB,6.379919950111277,0.0,0.0
CAN,204.28760187219794,29.402921889850322,14.392905697842961
CHL,86.86105666994901,46.236784013194224,53.230740893335906
CHN,0.9977819486749899,0.0,0.0
CIV,9.97781934545149,0.0,0.0
COK,2.3826790427951465,2.3826790427951465,100.0
COL,57.1474288446126,13.006806017039695,22.760089613840734
CPV,34.31626461108911,2.828782675623861,8.24327096111083
CRI,8.980037309438156,2.9933458229194656,33.33333392472004
CUB,56.27972806624865,0.0,0.0
CUW,4.988909640421062,0.0,0.0
CYM,1.9955638764979575,0.0,0.0
CYP,0.9981373746204459,0.0,0.0
DMA,7.365405497245414,0.0,0.0
DNK,2.9937648303562665,0.0,0.0
DOM,20.07081341826126,17.432413366187166,86.85454347518588
DZA,2.529119453137116,0.0,0.0
ECU,53.62723300020819,50.633887162800384,94.41823553082406
ERI,2.745872075863396,0.0,0.0
ESP,1469.0933157092868,1321.8597692855978,89.97793095582878
FJI,2.993345846703224,0.0,0.0
FRA,239.90387765366464,178.91846628601664,74.57923066350386
FRO,287.5573751857667,0.0,0.0
FSM,1.995563828782018,0.0,0.0
GBR,360.62233796246255,209.3105356169948,58.04147818452169
GHA,7.615791507874768,0.0,0.0
GIN,0.9981819845035912,0.9981819845035912,100.0
GLP,9.195072840958826,9.170162031325845,99.72908523875942
GNB,0.9977819760295041,0.0,0.0
GNQ,4.397738886733962,3.2601734912586062,74.13294820875134
GRC,17.06062473794609,0.9977819186426866,5.848448893101957
GRD,14.965523486057585,0.2782874961774012,1.859523968116877
GRL,18.332575032195308,0.0,0.0
GTM,0.9977819299016233,0.0,0.0
GUF,5.98669163665406,0.0,0.0
GUY,15.455887059078295,0.0,0.0
HMD,1.99556384580554,0.9977819029190315,49.99999899859187
HND,12.38487244372784,0.9977819531870762,8.056457244276183
HRV,72.3854349738677,0.9977819327140276,1.3784291454133595
HTI,3.9911277788139476,0.0,0.0
IDN,144.26008665579076,3.991127781469831,2.766619564698302
IND,10.975601404195192,0.0,0.0
IRL,474.3814594306679,187.91961250991793,39.61360815733627
ISL,528.3499689302475,316.859854317583,59.97158568195442
ITA,166.13410375017796,49.9369362233065,30.058209058868812
JAM,20.59787110000838,0.9977819390730466,4.8441022580855
JPN,95.20378498506498,34.97568933599517,36.737708843699814
KEN,3.9911277017201128,0.0,0.0
KIR,1.9955639105257368,0.0,0.0
KNA,6.511327936274264,0.0,0.0
LBR,6.933860801866177,0.0,0.0
LCA,12.384803268188284,1.7612088905976258,14.22072561395854
LKA,3.991127785234084,0.0,0.0
MAR,152.07398772460198,1.5594807756079236,1.0254750328715398
MDG,9.374370780008068,0.9977819247842066,10.643721570220928
MEX,117.74237556902904,46.99342553933622,39.91207525092383
MHL,8.980037463151305,0.0,0.0
MLT,4.347244227112141,3.3379805936552334,76.78382946229459
MMR,5.986691621590617,0.0,0.0
MNE,1.9955639569000847,0.0,0.0
MOZ,11.973383430188827,0.0,0.0
MRT,39.62161159698223,0.0,0.0
MSR,6.969981091206095,0.0,0.0
MTQ,6.547047313434897,6.547047317347132,100.0000000597557
MUS,0.997781927433304,0.0,0.0
MYS,7.47192038319555,0.10097582615970195,1.3514039360858014
NAM,1.9955639065985968,0.0,0.0
NCL,69.6011451480607,62.21639310699346,89.38989864986007
NFK,41.78853863177092,41.696610464816615,99.78001583696346
NGA,9.19180648641864,0.0,0.0
NIC,5.498186305146687,0.42255710415644226,7.685390794431597
NOR,3017.0553153918186,269.82411343927265,8.943293550593426
NZL,831.0989361360454,236.77483933221777,28.489368598284344
OMN,4.988909681841304,3.8816099826075727,77.80477559527496
PAN,32.9268038536195,0.1210741153960776,0.3677068565000379
PER,8.980037546896705,0.9977819443394775,11.11111105191635
PHL,174.35796036099228,7.144163021713787,4.097411444205041
PLW,3.2425315042068807,3.2425315042068807,100.0
PNG,1.9955638700139322,0.0,0.0
PRI,33.81577805019643,6.47176751982142,19.138307302037155
PRT,369.8049894940357,105.47404009181774,28.521529748997303
RUS,17.948906216739772,0.0,0.0
SAU,6.984473645204873,0.0,0.0
SEN,4.193878985572468,0.0,0.0
SGS,1.1510946983163888,0.11610908926281296,10.086840764068858
SHN,14.365178505391128,8.283886048614017,57.66643307290018
SJM,2.993345835212552,0.0,0.0
SOM,8.980037462848053,0.0,0.0
SPM,2.993345867926699,0.0,0.0
STP,0.9977819650841782,0.0,0.0
SUR,34.42374041330581,0.0,0.0
SWE,31.053848083500984,19.369627041509712,62.37432149930836
SYC,3.4457124816421465,0.0,0.0
TCA,2.993345802237834,0.0,0.0
THA,3.991127770969185,0.0,0.0
TLS,6.035162450545524,0.0,0.0
TON,1.9955638718070303,0.0,0.0
TTO,14.01047935881656,0.0,0.0
TUN,11.252983868790865,0.0,0.0
TUV,0.997781963737542,0.0,0.0
TWN,4.125331308344613,0.0,0.0
UMI,9.388182862125527,9.388182862125527,100.0
URY,22.22263302320064,0.0,0.0
USA,2137.3104433636886,408.4148230347153,19.10882082211483
VCT,10.273117943702085,0.0,0.0
VEN,68.05729420672148,1.9955639162531917,2.932182273059139
VGB,7.9822930699462225,0.0,0.0
VIR,7.982255502427604,0.04248769432038521,0.5322768020575592
VNM,1.3186708390527258,0.0,0.0
VUT,18.10153842452078,0.0,0.0
WLF,33.11336779716267,0.0,0.0
WSM,1.9955638143059473,0.0,0.0
YEM,0.9977819187559517,0.0,0.0
ZAF,44.6220109194493,25.220564164531773,56.52045626105778
DPT,220.36692815729467,180.44838369756707,81.88541956203413
