iso3,total_area_1996,total_area_2007,total_area_2008,total_area_2009,total_area_2010baseline,total_area_2015,total_area_2016,total_area_2017,total_area_2018,total_area_2019,total_area_2020,protected_area,percent_protected
ABW,0.5505220992958312,0.46204031301753956,0.42641020807106533,0.4198780671221479,0.4234411454759617,0.4376929678452808,0.4376929678452808,0.4376929678452808,0.4103765773154376,0.4103765773154376,0.4329422393303552,0.008044091317769826,1.858005661496985
AGO,293.4292792387962,288.91501189059414,287.00923916317527,287.4315117532198,287.12116635646413,286.44396079768546,283.38398169521327,283.53034681017044,280.8445442547805,281.8819337319739,280.82388980916664,1.4560795691853317,0.5185027421188446
AIA,0.042789233910706694,0.03064593668913752,0.028911232239489233,0.030645715884751103,0.03874139711352881,0.047993769842248894,0.0468372270143871,0.0445242642009929,0.03758522254611701,0.034115384576805435,0.03527193763082895,0.0,0.0
ARE,75.83569448673593,80.35571187488722,85.93792868572545,83.55739677678676,77.13590860892134,71.73229799260142,70.73100603859687,72.3763224969771,73.58732733396127,74.01147534553633,73.8732932821446,13.225002080465808,17.90227766069058
ASM,0.3259926796832778,0.32422427491365824,0.32245592087619496,0.3200980607039168,0.3206875281655158,0.3236348708121145,0.3236348708121145,0.32363487081211445,0.32363487081211445,0.3218665383126605,0.3189192190931394,0.0,0.0
ATF,6.723017571763446,6.723017571763447,6.723017571763447,6.723017571763447,6.723017571763446,6.723017571763447,6.723017571763447,6.723017571763447,6.723017571763447,6.723017571763447,6.723017571763447,6.723017571763447,100.0
ATG,8.599803004433793,7.897312075773261,7.8775955027117135,7.9721212012014036,8.40903346264441,8.453170722812601,8.649197711401428,8.751196345975863,8.838169127139723,8.798674416606442,8.691842564763155,4.101993216104353,47.19359773880269
AUS,10666.165839768772,10401.933738112886,10226.453789129127,10224.579496844337,10153.311570282453,10045.712101254054,9978.685273176965,10011.652827739288,10069.081155173486,10096.989043544887,10035.715202090527,4926.818873670438,49.09285262144684
BEN,29.29392199824381,22.485153061346896,21.059692058585313,22.965010347958405,26.367355085090743,28.439766795228337,29.684044239450564,29.526503716140077,29.43744172183984,29.16566049962335,28.655277317310944,0.0,0.0
BES,3.1886362610924155,2.844916130997815,2.750361544686339,2.7081393132856038,2.635589734473087,2.577312757587863,2.5380644478271828,2.5559040208092867,2.542820986747751,2.526170245176728,2.5511466175294264,1.8318391167920145,71.80454091525318
BGD,4444.144254711681,4495.4414828539375,4489.108659211037,4480.143155208669,4477.453033892855,4457.508236375164,4462.955154762831,4451.07366472372,4476.749102248269,4468.8118326367285,4480.33398844895,3970.482221465118,88.62022857451443
BHR,0.6412273041038379,0.8560953901903493,0.9037600137505019,0.9191014331977032,0.8397453073978564,0.5929697579841624,0.5732501048874712,0.5776486740822344,0.5930067548317375,0.5853326544430892,0.5836399962263042,1.2485914155540027e-05,0.002139317770589982
BHS,1690.1017723483308,1585.3419574941006,1509.2353054856858,1506.7203394526125,1459.1986352668746,1431.702900955492,1432.9265227276953,1442.6006684414251,1447.7755690175154,1467.4111652823062,1497.9220841049796,967.1889472420653,64.5687087135756
BLZ,545.716280856209,530.0802193508866,521.4491708680836,517.5645556350472,513.6579182912864,510.32266251399545,508.47008407517257,511.00125565946024,518.3082033331308,521.5811585362777,519.3444890824791,157.2227300015289,30.273302847459266
BMU,0.20941199570812427,0.20941199570812427,0.20941199570812427,0.20941199570812427,0.2094119957081243,0.20941199570812427,0.20941199570812427,0.20941199570812427,0.20941199570812427,0.20941199570812427,0.20941199570812427,0.13011240911768296,62.132261658511645
BRA,11474.565712501806,11357.422732902058,11314.668458979604,11313.56612361712,11267.350482212392,11211.672656613782,11263.885497670783,11357.925098498352,11386.84810364956,11383.270521294786,11375.584462759254,9606.34354072313,84.44703278474907
BRB,0.09776486125450824,0.10309766201604381,0.10606034598984888,0.10428279560005588,0.10961543980427711,0.101319992468715,0.09539468384266485,0.0936171035028556,0.0936170716755426,0.09894977658440861,0.10843027031885004,0.0,0.0
BRN,109.38865021091254,109.56042551949639,109.36257488949944,109.74435384922769,109.57215358771629,109.08418907034032,108.67214985439698,108.71505044128266,109.22639308710315,110.04968524130183,109.71722524252428,66.6523421910314,60.74920509856116
CHN,241.20323864669837,215.00712373660556,206.89300238748558,200.11916110114294,197.32214318623323,203.2702215599969,208.77594613026386,209.8101982420483,206.19623595671086,205.5979445937672,202.79288548806352,9.690141395843197,4.7783438617789
CIV,57.89959938140783,57.922938283022084,57.97430555798535,58.05018184864765,57.64332044359285,55.01447494219895,53.51798241772964,52.92205404632768,53.03534430349011,53.33452161692515,53.49629687795122,3.7656520820996513,7.039089248907778
CMR,1966.1475834094404,1975.0513021923284,1974.0588028701056,1974.1570299182379,1976.2134735568673,1980.8287386789846,1975.5684639007243,1972.1646117080581,1971.9558175032116,1976.7321952585457,1973.4681855721099,1491.1161475642675,75.55815484970647
COD,237.9953602773189,238.0219459636604,237.10891568433718,236.99040379745034,235.94920147085358,235.81922129174356,235.5580222494185,235.76661123820594,236.09251198550604,236.84892733493047,236.38699590942744,233.40779203669186,98.73969214707688
COG,20.48948999466411,20.505850788580833,20.453721700507042,20.477376337618587,20.424055171483015,20.282816603415263,20.204617553415627,20.193097565952545,20.248864866473813,20.37253279599558,20.3598179855653,16.486180397114335,80.97410501804438
COK,0.03271536468329518,0.03271536468329518,0.03271536468329518,0.03271536468329518,0.03271536468329518,0.03271536468329518,0.03271536468329518,0.03271536468329518,0.03271536468329518,0.03271536468329518,0.03271536468329518,0.0,0.0
