status,abbreviation,number_of_species
Not Evaluated,NE,0
Data Deficient,DD,4
Least Concern,LC,47
Near Threatened,NT,4
Vulnerable,VU,7
Endangered,EN,1
Critically Endangered,CR,0
Extinct in the Wild,EW,0
Extinct,EX,0
