country,iso3,species,species_id,source_id,,,,,,,,
Åland Islands,ALA,Zostera subg. Zostera marina,54,1,,,,,,,,
Åland Islands,ALA,Ruppia maritima,60,1,,,,,,,,
Åland Islands,ALA,Ruppia filifolia,61,1,,,,,,,,
Albania,ALB,Posidonia oceanica,38,1,,,,,,,,
Algeria,DZA,Posidonia oceanica,38,1,,,,,,,,
Algeria,DZA,Zostera subg. Zostera marina,54,1,,,,,,,,
Algeria,DZA,Zostera noltei,57,1,,,,,,,,
American Samoa,ASM,Halophila minor,22,1,,,,,,,,
American Samoa,ASM,Halophila ovalis,23,1,,,,,,,,
Angola,AGO,Cymodocea nodosa,4,1,,,,,,,,
Angola,AGO,Halodule wrightii,13,1,,,,,,,,
Anguilla,AIA,Syringodium filiforme,42,1,,,,,,,,
Anguilla,AIA,Thalassia testudinum,45,1,,,,,,,,
Antigua and Barbuda,ATG,Halodule wrightii,13,1,,,,,,,,
Antigua and Barbuda,ATG,Syringodium filiforme,42,1,,,,,,,,
Antigua and Barbuda,ATG,Thalassia testudinum,45,1,,,,,,,,
Argentina,ARG,Ruppia maritima,60,1,,,,,,,,
Argentina,ARG,Ruppia filifolia,61,90,,,,,,,,
Aruba,ABW,Thalassia testudinum,45,1,,,,,,,,
Australia,AUS,Amphibolis antarctica,1,1,,,,,,,,
Australia,AUS,Amphibolis griffithii,2,1,,,,,,,,
Australia,AUS,Cymodocea angustata,3,1,,,,,,,,
Australia,AUS,Cymodocea rotundata,5,1,,,,,,,,
Australia,AUS,Cymodocea serrulata,6,1,,,,,,,,
Australia,AUS,Enhalus acoroides,7,1,,,,,,,,
Australia,AUS,Halodule pinifolia,11,1,,,,,,,,
Australia,AUS,Halodule uninervis,12,1,,,,,,,,
Australia,AUS,Halophila australis,14,1,,,,,,,,
Australia,AUS,Halophila capricorni,17,1,,,,,,,,
Australia,AUS,Halophila decipiens,18,1,,,,,,,,
Australia,AUS,Halophila minor,22,1,,,,,,,,
Australia,AUS,Halophila ovalis,23,1,,,,,,,,
Australia,AUS,Halophila ovata,24,1,,,,,,,,
Australia,AUS,Halophila spinulosa,25,1,,,,,,,,
Australia,AUS,Halophila tricostata,27,1,,,,,,,,
Australia,AUS,Posidonia angustifolia,33,1,,,,,,,,
Australia,AUS,Posidonia australis,34,1,,,,,,,,
Australia,AUS,Posidonia ostenfeldii,35,1,,,,,,,,
Australia,AUS,Posidonia denhartogii,36,1,,,,,,,,
Australia,AUS,Posidonia kirkmannii,37,1,,,,,,,,
Australia,AUS,Posidonia ostenfeldii,39,1,,,,,,,,
Australia,AUS,Posidonia ostenfeldii,40,1,,,,,,,,
Australia,AUS,Posidonia sinuosa,41,1,,,,,,,,
Australia,AUS,Syringodium isoetifolium,43,1,,,,,,,,
Australia,AUS,Thalassia hemprichii,44,1,,,,,,,,
Australia,AUS,Thalassodendron ciliatum,46,1,,,,,,,,
Australia,AUS,Thalassodendron pachyrizum,47,1,,,,,,,,
Australia,AUS,Zostera muelleri subsp. capricorni,51,1,,,,,,,,
Australia,AUS,Zostera muelleri subsp. mucronata,55,1,,,,,,,,
Australia,AUS,Zostera muelleri,56,1,,,,,,,,
Australia,AUS,Zostera tasmanica,59,1,,,,,,,,
Australia,AUS,Ruppia megacarpa,63,90,,,,,,,,
Australia,AUS,Ruppia tuberosa,64,90,,,,,,,,
Azerbaijan,AZE,Zostera noltei,57,1,,,,,,,,
Bahamas,BHS,Halodule wrightii,13,1,,,,,,,,
Bahamas,BHS,Syringodium filiforme,42,1,,,,,,,,
Bahamas,BHS,Thalassia testudinum,45,1,,,,,,,,
Bahrain,BHR,Halodule uninervis,12,1,,,,,,,,
Bahrain,BHR,Halophila ovalis,23,1,,,,,,,,
Bahrain,BHR,Halophila stipulacea,26,1,,,,,,,,
Bangladesh,BGD,Halodule uninervis,12,1,,,,,,,,
Bangladesh,BGD,Halophila beccarii,16,1,,,,,,,,
Barbados,BRB,Halodule beaudettei,8,1,,,,,,,,
Barbados,BRB,Halodule wrightii,13,1,,,,,,,,
Barbados,BRB,Halophila decipiens,18,1,,,,,,,,
Barbados,BRB,Syringodium filiforme,42,1,,,,,,,,
