"region","total_area_1996","total_area_2007","total_area_2008","total_area_2009","total_area_2010 _baseline","total_area_2015","total_area_2016","protected_area","percent_protected"
"Baltic Sea",0,0,0,0,0,0,0,493.320297501443,Inf
"Black Sea",0,0,0,0,0,0,0,99.3857626600869,Inf
"East Asian Seas",41339.9188074073,39581.6746470774,39532.403876554,39469.1537958935,39295.5891343318,38901.7468512956,39047.5640746765,75.5087916626074,0.193376446013894
"Eastern Africa",7540.75998764203,7281.55131473272,7304.8783090984,7296.02930815457,7275.9072090528,7235.42899839272,7240.539621204,3760.78112847826,51.9406194182652
"Mediterranean",0,0,0,0,0,0,0,1341.22120167317,Inf
"North-East Atlantic",0,0,0,0,0,0,0,5472.6278887978,Inf
"North-East Pacific",6827.60078867989,6669.65337432616,6737.92518015975,6711.48860181711,6464.14152957099,6616.82555042808,6453.10313659158,6401.25642669426,99.1965615797565
"North-West Pacific",10.1576464380543,9.96230730834677,10.0302051941852,10.0258178980049,10.0753453289516,10.0753453289516,10.0753453289516,365.243836179816,3625.12474019412
"Pacific",9429.58238139795,9356.00690195562,9359.06318114503,9353.60730869874,9352.84216354385,9251.40151280545,9260.26311072786,1681.54870449005,18.1587573094117
"Red Sea and Gulf of Aden",98.2094230423099,96.4711267031278,96.3989217707883,96.4251984379206,95.8194023583648,95.511481631756,96.0002554546064,0,0
"ROPME Area",187.345066464892,180.952288439167,183.760463970186,184.380676957994,184.907311141055,176.585796465244,175.386082977502,3959.40713980141,2257.53781177114
"South-East Pacific",3119.94301998482,3050.57847757115,3054.08917605607,3054.05917010458,3062.19002373902,3035.99119608297,3041.24548244486,929.981099145267,30.5789553823736
"South Asian Seas",8373.95137099328,8243.23795142733,8237.59539108387,8228.03071018448,8240.17145605681,8151.10786743497,8161.73474738344,35.9234344925749,0.44014459676102
"West and Central Africa - WACAF",19878.4854049901,19775.45591238,19795.5517166024,19791.9814903257,19776.9226394549,19669.5711386876,19628.4268557197,2914.73581379655,14.8495640288524
"Wider Caribbean",20839.522049904,20236.0788068218,20302.7013109863,20189.6006954111,19442.8961055926,19557.4761683742,19482.3285901841,15428.5287710701,79.1924266118968
